"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-1.420068488,-5.629553509,-43.98211989,-8.11129298,-6.633
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,3.664553028,6.73001966,2.860976178,1.3588608,5.036
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,7.553433123,0.084508218,-15.92475242,-15.5733317,0.807
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,6.926093839,16.70283535,3.913230574,6.527526389,17.6285
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,1.159495236,5.269755761,1.249122274,0.208644578,8.6625
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,5.998707153,7.577439491,-41.26199062,2.108890514,12.4285
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-16.07091236,-19.59561062,-59.04842604,-23.59000033,-5.9585
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,4.444198013,2.282035925,-12.65748766,2.714446075,-14.127
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BORTEZOMIB",400633,387447,2.00493318,4.859217365,-35.44875387,-0.209125111,-8.6175
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,6.577556762,3.836471907,-16.52328516,-0.438828111,22.881
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,-2.248485071,-1.132762922,-28.34058736,0.160005222,5.473
"13","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,-1.434462319,-3.394680865,-3.733202182,-4.23364769,-0.394
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,0.64321999,-1.492590371,-3.121914308,-3.427805801,-2.1085
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,0.137946702,-0.971522974,-4.312962067,-4.291610956,-0.5945
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,-1.49929268,-14.21757036,-11.79641704,-14.40416236,-15.2895
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DOCETAXEL",400633,148124,4.492806764,1.78818194,-7.812631357,-6.668887259,1.4725
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,1.513986103,1.317394518,-36.61730284,-2.887776147,23.819
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,-1.750650645,0.942999136,-1.215370853,-1.785461783,0.6995
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,0.635643074,2.981676678,-1.244732138,-0.227035167,3.9095
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,-0.283215681,-1.551447913,-3.732730925,-3.077889425,3.8575
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,5.000845083,4.216344458,-68.1859746,-3.544442711,39.752
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,3.647972386,1.847768534,-7.921906469,-7.716665167,6.936
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,4.102143413,2.395887219,-3.50522688,-3.9411394,3.5185
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,2.982692035,2.97947444,-32.79824025,2.373208444,22.948
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,5.440495646,4.398091546,-4.91447417,-3.558516733,7.938
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,2.449892492,2.436210951,-32.28864966,-2.162222611,15.595
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,1.593397558,-1.998655261,-11.09441139,-10.34888815,-2.6905
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,-1.468954824,-3.145202239,-30.27904657,-2.726666667,-22.37
"31","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOTANE",400633,4211,9.432184059,14.12872872,10.09151902,10.91777941,23.993
"32","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC 85998",400633,23615975,-6.494160644,-6.101882555,-22.24094551,-9.846665556,-5.793
"33","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC-127716",400633,16886,6.131433378,7.28042154,-53.17369567,0.152223853,21.197
"34","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC256439",400633,3685,1.661525638,0.211784318,-29.4104069,-1.140089073,-0.309
"35","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC733504",400633,54608520,0.885489598,8.316291161,-0.349512495,1.625867011,8.0855
"36","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PIPOBROMAN",400633,4842,3.843366694,2.033327838,-19.13861872,2.016543863,4.9185
"37","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PRALATREXATE",400633,148121,1.049258267,0.308997761,-6.178153994,-0.314442814,-7.7715
"38","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PROCARBAZINE HYDROCHLORIDE",400633,9703,0.676107144,2.250513643,-3.886454215,-3.592220344,2.48
"39","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","QUINACRINE HYDROCHLORIDE",400633,5351141,0.968780433,-1.570430768,-40.31041306,-2.932020198,59.009
"40","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ROMIDEPSIN",400633,5352062,2.894779471,2.613236263,-68.81570313,-3.782220592,43.892
"41","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SN-38",400633,104842,3.813226404,2.650636231,-37.82832966,0.435557186,9.0105
"42","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SORAFENIB",400633,216239,0.236209408,-0.355836841,-10.03612429,-5.714556092,0.8835
"43","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SUNITINIB",400633,5329102,-2.591520511,-9.584538477,-14.96691036,-10.30565111,-3.569
"44","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","THALIDOMIDE",400633,5426,-0.164643214,-2.224801995,-9.141829884,-6.965553925,-1.717
"45","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TOPOTECAN HYDROCHLORIDE",400633,60699,3.227743762,3.979878843,-34.95169126,3.925555222,3.1745
"46","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TRIETHYLENEMELAMINE",400633,5799,0.930263908,0.234424562,-28.74931508,-0.971109481,-7.138
"47","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLEDRONIC ACID",400633,68740,1.917189604,-2.393784978,-7.051046386,-9.165553822,-1.6715
"48","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLINZA",400633,5311,1.469775841,-2.026174583,-61.73376006,-5.609998433,-17.6025
"49","34793-34-5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE",248862,400633,-1.257568282,-2.342952876,-6.648395266,-4.183175067,-3.838
"50","34793-34-5","ADM HYDROCHLORIDE",248862,32874,0.299146,-4.756477969,-34.98241059,-7.655413188,-3.2615
"51","34793-34-5","ALLOPURINOL",248862,2094,5.315772721,11.2224399,1.25595658,1.308530961,9.19
"52","34793-34-5","AMIFOSTINE",248862,2141,5.842615562,3.053663072,-9.512530198,-9.161109433,3.6075
"53","34793-34-5","AMINOLEVULINIC ACID HYDROCHLORIDE",248862,123608,-3.301284434,-4.702728523,-10.00442715,-6.264567631,-6.62
"54","34793-34-5","ANASTROZOLE",248862,2187,-0.170693799,-0.838049178,-3.257686545,-0.526883333,-15.215
"55","34793-34-5","ANTIBIOTIC AD 32",248862,41744,0.226182811,1.733250641,1.040310734,3.994248366,-39.175
"56","34793-34-5","ANTIBIOTIC AY 22989",248862,54600319,5.998707153,7.577439491,-41.26199062,2.108890514,12.4285
"58","34793-34-5","AZACYTIDINE",248862,1805,7.880092336,11.81088459,-24.0248833,11.40889052,29.698
"59","34793-34-5","BLEOMYCIN",248862,5360373,3.870298679,3.849193902,-11.67973058,3.692222222,-6.733
"60","34793-34-5","BORTEZOMIB",248862,387447,-0.260883541,-0.267694679,-23.82364938,-4.315461589,-19.672
"61","34793-34-5","BUSULFAN",248862,2478,4.247099762,7.064309933,-10.49092253,4.330347691,13.832
"62","34793-34-5","CARMUSTINE",248862,2578,-1.385979274,-0.584083868,0.66539471,0.6944511,8.1215
"63","34793-34-5","CHEMBL277800",248862,354624,-1.434782219,-3.39468066,-3.733589815,-4.23364756,-0.294
"65","34793-34-5","CO-V",248862,40926,-1.498254483,-1.850774017,-2.300264203,-2.055684243,-2.061
"66","34793-34-5","CYCLOPHOSPHAMIDE",248862,2907,-2.626033918,-1.263366968,-1.800983621,-0.560528222,8.6655
"67","34793-34-5","DASATINIB",248862,3062316,0.724812943,-2.475791177,-8.951531426,-8.58999837,-2.435
"68","34793-34-5","DOCETAXEL",248862,148124,2.708604579,0.719634924,-6.131519338,-4.987775389,0.226
"69","34793-34-5","ELOXATIN (TN) (SANOFI SYNTHELAB)",248862,24197464,3.295114328,3.697231652,-32.08508062,1.644446075,19.8145
"70","34793-34-5","EMCYT (PHARMACIA)",248862,54611422,0.341469974,-0.821740981,-4.191758084,-3.346572894,8.3785
"71","34793-34-5","ERLOTINIB HYDROCHLORIDE",248862,176871,-1.159762273,1.895694801,2.780383871,1.187559659,1.7745
"72","34793-34-5","FULVESTRANT",248862,104741,-2.049065424,-3.687222951,-15.30166686,-2.766884785,-27.7085
"73","34793-34-5","GEMZAR (LILLY)",248862,356653,4.999141427,4.216345467,-68.1859732,-3.544442814,39.75
"74","34793-34-5","IFOSFAMIDE",248862,3690,-4.46723819,-2.717190786,-12.75691579,-5.357166156,-9.372
"75","34793-34-5","IMIQUIMOD",248862,57469,2.266233916,1.543706123,-3.160178994,-2.350028211,3.674
"76","34793-34-5","IXABEPILONE",248862,6445540,1.781899364,1.347231768,-12.06223119,1.256657115,-3.1265
"77","34793-34-5","MECHLORETHAMINE HYDROCHLORIDE",248862,5935,0.400543559,1.703682681,-24.13977058,1.703462444,9.3605
"78","34793-34-5","METHOXSALEN",248862,4114,4.57421706,5.466336929,0.930034218,1.675557456,13.229
"79","34793-34-5","MITOMYCINE",248862,5746,-5.07235952,-3.981052765,-1.899930032,0.385416544,-34.2415
"80","34793-34-5","MITOTANE",248862,4211,-1.732763229,-3.763703237,-19.19946379,-3.291327778,-23.4965
"81","34793-34-5","NSC 85998",248862,23615975,-8.854766705,-5.270158813,-16.86997118,-5.228855622,-1.2545
"82","34793-34-5","NSC-127716",248862,16886,1.505637456,4.875103732,-48.04798363,4.093193,18.01
"83","34793-34-5","NSC256439",248862,3685,-2.980112334,-6.933118871,-14.80746725,-5.519720727,-11.139
"84","34793-34-5","NSC733504",248862,54608520,-5.75953139,-10.80711355,-10.53261903,-10.44457313,-9.9525
"85","34793-34-5","PACLITAXEL",248862,36314,2.142780806,-5.150937258,-51.77509596,-5.790964319,-10.9525
"86","34793-34-5","PIPOBROMAN",248862,4842,4.562472347,5.058778677,-17.33290903,3.805573393,5.1215
"87","34793-34-5","PROCARBAZINE HYDROCHLORIDE",248862,9703,3.550948888,7.745029613,6.227989307,5.885866844,-1.612
"88","34793-34-5","QUINACRINE HYDROCHLORIDE",248862,5351141,3.811810834,6.762911546,-21.70143168,5.830347833,59.1055
"89","34793-34-5","ROMIDEPSIN",248862,5352062,2.102332488,0.086433083,-69.1623698,-4.128887259,54.4025
"90","34793-34-5","SN-38",248862,104842,0.91119771,0.37155564,-38.73277411,-0.468887259,-3.9545
