"","CID","DiseaseID"
"4821",2123,"MESH:D064420"
"4822",2123,"MESH:D005767"
"4823",2123,"MESH:D007022"
"4824",2123,"MESH:D009325"
"4825",2123,"MESH:D009422"
"4826",2123,"MESH:D014839"
"4827",2123,"MESH:D010051"
"4970",2141,"MESH:D001416"
"4971",2141,"MESH:D009202"
"4972",2141,"MESH:D023341"
"4973",2141,"MESH:D004244"
"4974",2141,"MESH:D064420"
"4975",2141,"MESH:D005076"
"4976",2141,"MESH:D005334"
"4977",2141,"MESH:D005483"
"4978",2141,"MESH:D006996"
"4979",2141,"MESH:D007022"
"4980",2141,"MESH:D007674"
"4981",2141,"MESH:D009325"
"4982",2141,"MESH:D009503"
"4983",2141,"MESH:D010292"
"4984",2141,"MESH:D012912"
"4985",2141,"MESH:D013262"
"4986",2141,"MESH:D018746"
"4987",2141,"MESH:D014839"
"4988",2141,"MESH:D014987"
"4989",2141,"MESH:D058186"
"4990",2141,"MESH:D055371"
"4991",2141,"MESH:D000505"
"4992",2141,"MESH:D000754"
"4993",2141,"MESH:D000756"
"4994",2141,"MESH:D001855"
"4995",2141,"MESH:D001943"
"4996",2141,"MESH:D002289"
"4997",2141,"MESH:D002386"
"4998",2141,"MESH:D003556"
"4999",2141,"MESH:D003967"
"5000",2141,"MESH:D004417"
"5001",2141,"MESH:D004938"
"5002",2141,"MESH:D004941"
"5003",2141,"MESH:D005119"
"5004",2141,"MESH:D005767"
"5005",2141,"MESH:D006258"
"5006",2141,"MESH:D034381"
"5007",2141,"MESH:D006331"
"5008",2141,"MESH:D006470"
"5009",2141,"MESH:D006504"
"5010",2141,"MESH:D015477"
"5011",2141,"MESH:D020522"
"5012",2141,"MESH:D008228"
"5013",2141,"MESH:D052016"
"5014",2141,"MESH:D009336"
"5015",2141,"MESH:D020258"
"5016",2141,"MESH:D010190"
"5017",2141,"MESH:D011832"
"5018",2141,"MESH:D051437"
"5019",2141,"MESH:D013272"
"5020",2141,"MESH:D013921"
"5834",2187,"MESH:D002349"
"5835",2187,"MESH:D003072"
"5836",2187,"MESH:D005923"
"5837",2187,"MESH:D008113"
"5838",2187,"MESH:D008569"
"5839",2187,"MESH:D019964"
"5840",2187,"MESH:D000230"
