"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-3.939573118,0.85808185,-29.25723941,-0.005100661,3.43
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,1.277239288,-0.333352289,-4.365902591,-3.488843967,-0.7945
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,1.056941458,-0.503730098,-3.252633716,-3.675553925,-1.2795
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,-0.383357184,-0.826092853,0.975761935,0.406760439,1.119
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,2.778173628,-0.688399439,-7.760960354,-6.663271925,0.4655
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,-0.315436762,0.980371687,-22.04649483,-1.770252289,9.06
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-8.000587326,-0.670101419,-34.8253263,-1.56999837,10.347
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,-7.31358017,-1.280890991,-15.22565545,0.2132091,9.2915
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BORTEZOMIB",400633,387447,2.576474912,-0.196104265,-48.15971724,-4.835207864,42.8785
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,-1.173642021,1.103932966,-4.025577565,-2.974636955,3.372
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,1.520809794,5.589786377,-0.433555765,1.071112741,5.3125
"13","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,1.534750775,4.105679915,-8.246140827,-2.906632673,1.4935
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,-1.882755694,-4.900895962,-5.792574312,-5.424696762,-3.727
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,7.714514898,4.244843438,-7.905586625,-8.154442814,5.325
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,1.978790299,1.381898528,-1.942666787,-1.548730435,1.8405
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DOCETAXEL",400633,148124,-0.873264677,0.498157946,-4.566874549,0.058890519,2.302
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,-5.89109008,-5.086686345,-13.33105404,-4.511093274,-4.187
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,-1.218210288,-0.191927789,-6.056221645,-1.892415144,5.3365
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,2.47674583,2.811482786,-1.080272108,-2.9866651,2.8965
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,4.46426872,3.012006924,-6.254801077,-5.198871051,4.597
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,-2.580184886,-1.836608574,-20.14741783,-4.865267642,7.8915
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,2.140647679,-1.165879226,-4.752553745,-6.648863438,-7.272
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,1.984367511,-1.561766207,-3.209374509,-4.853361356,-1.1585
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,2.318274211,1.089388811,-31.86221011,-1.167778333,-2.117
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,2.288841245,1.312040524,-2.21550645,-2.292177284,1.9735
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,-7.531964696,-4.849321047,-16.91050558,-1.7845672,5.672
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,0.301351419,4.499480241,-1.526702928,-1.259997411,6.1675
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,-6.054785528,-8.483648081,-19.41488582,-11.39458522,-2.6395
"31","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOTANE",400633,4211,6.903672835,8.602414977,-4.365785134,-3.391109481,11.1575
"32","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC 85998",400633,23615975,3.415095342,-3.357913521,-4.238013451,-9.070387581,-1.4335
"33","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC-127716",400633,16886,-4.859356435,1.491333984,-19.84400568,1.551112111,0.975
"34","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC256439",400633,3685,-3.7957223,-1.04618135,-46.67659733,-2.638150175,9.2655
"35","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC733504",400633,54608520,2.356468219,1.283585865,-9.326953391,-4.606665333,2.0405
"36","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PACLITAXEL",400633,36314,-3.559360293,-3.926444992,-21.71421567,-5.725553925,-4.669
"37","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PRALATREXATE",400633,148121,1.668288399,-3.699394658,-15.495289,-9.497776147,-12.118
"38","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PROCARBAZINE HYDROCHLORIDE",400633,9703,-4.572399655,-6.2280942,-4.774339152,-4.727167,-3.3285
"39","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","QUINACRINE HYDROCHLORIDE",400633,5351141,-1.114312519,2.225129015,-28.44672835,-2.276665111,10.4355
"40","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ROMIDEPSIN",400633,5352062,-0.799532333,-1.292545255,-40.16932251,-1.014437789,-9.8625
"41","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SN-38",400633,104842,-1.129016029,4.501160834,-19.82059555,2.825557186,9.1235
"42","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SORAFENIB",400633,216239,1.115438283,3.365001125,-6.139415458,-0.252440358,6.253
"43","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SUNITINIB",400633,5329102,2.245291079,2.490564531,-1.167401916,-1.557776122,2.843
"44","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","THALIDOMIDE",400633,5426,-0.712269,-3.8030243,-1.325380943,-4.56006398,0.504
"45","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TOPOTECAN HYDROCHLORIDE",400633,60699,-1.089471282,1.680942213,-14.80086979,1.341258408,0.9885
"46","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TRIETHYLENEMELAMINE",400633,5799,0.429706265,-0.308829028,-13.3459289,-0.550980021,1.228
"47","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLEDRONIC ACID",400633,68740,0.32481411,-1.312934335,-2.544909902,-2.587816969,-1.476
"48","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLINZA",400633,5311,-2.45383753,0.121162133,-19.83167526,-1.627776147,2.148
"49","34793-34-5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE",248862,400633,-4.193479589,-9.249930743,-7.101057163,-6.852607667,-9.6985
"50","34793-34-5","ADM HYDROCHLORIDE",248862,32874,-5.747497529,-2.655478033,-15.32885193,-0.762780273,2.7185
"51","34793-34-5","ALLOPURINOL",248862,2094,-0.334977426,-1.110152151,-2.977013488,-2.637689031,1.89
"52","34793-34-5","AMIFOSTINE",248862,2141,-1.007531644,-3.387535269,-2.268583714,-2.061699112,-3.7835
"53","34793-34-5","AMINOLEVULINIC ACID HYDROCHLORIDE",248862,123608,-2.556519809,-1.760569289,-4.138332868,-3.308886774,2.67
"54","34793-34-5","ANASTROZOLE",248862,2187,-3.682598448,4.069338884,4.111596711,4.289871313,2.9275
"55","34793-34-5","ANTIBIOTIC AD 32",248862,41744,-1.497287403,-1.125903943,-0.452766022,2.051161312,-12.278
"56","34793-34-5","ANTIBIOTIC AY 22989",248862,54600319,-0.827375602,-0.045140944,-39.12297956,-4.055268111,4.718
"58","34793-34-5","AZACYTIDINE",248862,1805,-5.436445155,0.728124227,-33.85405408,0.736668267,11.8895
"59","34793-34-5","BLEOMYCIN",248862,5360373,-5.116899584,2.950517761,-2.646344977,4.788893556,9.38
"60","34793-34-5","BUSULFAN",248862,2478,-1.84180547,2.645191737,0.031484918,2.17104806,2.099
"61","34793-34-5","CARMUSTINE",248862,2578,-0.065690451,1.189242042,-2.113555343,-0.608886759,2.3705
"62","34793-34-5","CHEMBL277800",248862,354624,2.754682793,6.430298653,-3.95777461,-0.276948609,9.663
"64","34793-34-5","CO-V",248862,40926,-0.534771124,-1.163528088,-5.262273198,-2.985553925,-1.9745
"65","34793-34-5","CYCLOPHOSPHAMIDE",248862,2907,5.829336428,-0.643227878,-10.07780885,-10.32666504,5.2905
"66","34793-34-5","DASATINIB",248862,3062316,1.870626061,-0.219760258,-4.329178453,-3.981222758,-0.0895
"67","34793-34-5","DOCETAXEL",248862,148124,-1.210029853,-2.76831053,-5.210036113,-2.543331933,0.5
"68","34793-34-5","ELOXATIN (TN) (SANOFI SYNTHELAB)",248862,24197464,-7.035885085,-4.071085104,-11.79438737,-2.78775994,-6.9825
"69","34793-34-5","EMCYT (PHARMACIA)",248862,54611422,-0.719209771,-0.618447409,-7.966957201,-3.02980893,-8.458
"70","34793-34-5","ERLOTINIB HYDROCHLORIDE",248862,176871,3.106059717,1.976154921,0.073429227,-2.393404927,2.717
"71","34793-34-5","FULVESTRANT",248862,104741,1.672415079,4.027151467,0.78190402,2.762004104,13.119
"72","34793-34-5","GEMZAR (LILLY)",248862,356653,-0.357546382,5.840099644,-11.61364844,-1.436605222,18.446
"73","34793-34-5","IMIQUIMOD",248862,57469,1.728929395,-2.108156993,-4.927200261,-6.373021599,-5.728
