"","CID","DiseaseID"
"373",247,"MESH:D005334"
"374",247,"MESH:D001724"
"375",247,"MESH:D056486"
"376",247,"MESH:D003711"
"377",247,"MESH:D005235"
"378",247,"MESH:D048550"
"379",247,"MESH:D006712"
"380",247,"MESH:D007249"
"381",247,"MESH:D008106"
"382",247,"MESH:D008113"
"383",247,"MESH:D008569"
"384",247,"MESH:D008661"
"385",247,"MESH:D009203"
"386",247,"MESH:D017202"
"387",247,"MESH:D009436"
"388",247,"MESH:D010922"
"389",247,"MESH:D011833"
"390",247,"MESH:D013610"
"391",247,"MESH:D020257"
"732",444,"MESH:D000014"
"733",444,"MESH:D000647"
"734",444,"MESH:D000648"
"735",444,"MESH:D000799"
"736",444,"MESH:D015875"
"737",444,"MESH:D001008"
"738",444,"MESH:D001145"
"739",444,"MESH:D001247"
"740",444,"MESH:D001289"
"741",444,"MESH:D001416"
"742",444,"MESH:D001649"
"743",444,"MESH:D001714"
"744",444,"MESH:D001919"
"745",444,"MESH:D056486"
"746",444,"MESH:D002637"
"747",444,"MESH:D002779"
"748",444,"MESH:D003128"
"749",444,"MESH:D003329"
"750",444,"MESH:D003680"
"751",444,"MESH:D003693"
"752",444,"MESH:D003866"
"753",444,"MESH:D003967"
"754",444,"MESH:D004244"
"755",444,"MESH:D003875"
"756",444,"MESH:D062787"
"757",444,"MESH:D064420"
"758",444,"MESH:D004409"
"759",444,"MESH:D004421"
"760",444,"MESH:D004802"
"761",444,"MESH:D004830"
"762",444,"MESH:D007172"
"763",444,"MESH:D005076"
"764",444,"MESH:D001068"
"765",444,"MESH:D005315"
"766",444,"MESH:D006212"
"767",444,"MESH:D006261"
"768",444,"MESH:D006323"
"769",444,"MESH:D006330"
"770",444,"MESH:D006463"
"771",444,"MESH:D006948"
"772",444,"MESH:D006973"
"773",444,"MESH:D007010"
"774",444,"MESH:D007024"
"775",444,"MESH:D007431"
"776",444,"MESH:D007565"
"777",444,"MESH:D017093"
"778",444,"MESH:D008173"
"779",444,"MESH:D001523"
"780",444,"MESH:D015878"
"781",444,"MESH:D009203"
"782",444,"MESH:D017202"
"783",444,"MESH:D009207"
"784",444,"MESH:D009220"
"785",444,"MESH:D009325"
"786",444,"MESH:D009459"
"787",444,"MESH:D016584"
"788",444,"MESH:D010292"
"789",444,"MESH:D020734"
"790",444,"MESH:D011297"
"791",444,"MESH:D011537"
"792",444,"MESH:D011595"
"793",444,"MESH:D011618"
"794",444,"MESH:D011697"
"795",444,"MESH:D012640"
"796",444,"MESH:D012713"
"797",444,"MESH:D020018"
"798",444,"MESH:D012770"
"799",444,"MESH:D007319"
"800",444,"MESH:D012893"
"801",444,"MESH:D013009"
"802",444,"MESH:D016103"
"803",444,"MESH:D013226"
"804",444,"MESH:D013262"
"805",444,"MESH:D020521"
"806",444,"MESH:D013375"
"807",444,"MESH:D013610"
"808",444,"MESH:D013616"
"809",444,"MESH:D014012"
"810",444,"MESH:D014029"
"811",444,"MESH:D014103"
"812",444,"MESH:D014202"
"813",444,"MESH:D020433"
"814",444,"MESH:D014313"
"815",444,"MESH:D014839"
"816",444,"MESH:D015430"
"817",444,"MESH:D015431"
"818",444,"MESH:D014987"
"819",444,"MESH:D019969"
"820",444,"MESH:D019970"
"821",444,"MESH:D003865"
"822",444,"MESH:D019263"
"823",444,"MESH:D005221"
"824",444,"MESH:D019964"
"825",444,"MESH:D010842"
"826",444,"MESH:D012148"
"827",444,"OMIM:188890"
"846",564,"MESH:D058186"
"847",564,"MESH:D001018"
"848",564,"MESH:D001778"
"849",564,"MESH:D002545"
"850",564,"MESH:D003693"
"851",564,"MESH:D004211"
"852",564,"MESH:D004244"
"853",564,"MESH:D006212"
"854",564,"MESH:D006417"
"855",564,"MESH:D006470"
"856",564,"MESH:D006849"
"857",564,"MESH:D006932"
"858",564,"MESH:D006943"
"859",564,"MESH:D006973"
"860",564,"MESH:D007022"
"861",564,"MESH:D020767"
"862",564,"MESH:D007674"
"863",564,"MESH:D009135"
"864",564,"MESH:D009212"
"865",564,"MESH:D009336"
"866",564,"MESH:D010146"
"867",564,"MESH:D012206"
"868",564,"MESH:D020225"
"869",564,"MESH:D012640"
"870",564,"MESH:D012790"
"871",564,"MESH:D013345"
"872",564,"MESH:D013575"
"873",564,"MESH:D013921"
"874",564,"MESH:D013923"
"875",564,"MESH:D013927"
"876",564,"MESH:D057049"
"877",564,"MESH:D020301"
"878",564,"MESH:D020246"
"879",564,"MESH:D000799"
"880",564,"MESH:D003556"
"881",564,"MESH:D004342"
"882",564,"MESH:D005131"
"883",564,"MESH:D006988"
"884",564,"MESH:D008595"
"885",564,"MESH:D009404"
"2024",896,"MESH:D012640"
"2025",896,"MESH:D012893"
"2026",896,"MESH:D053608"
"2027",896,"MESH:D013375"
"2028",896,"MESH:D013610"
"2029",896,"MESH:D018781"
"2030",896,"MESH:D014786"
"2031",896,"MESH:D000172"
"2032",896,"MESH:D000505"
"2033",896,"MESH:D001714"
"2034",896,"MESH:D001832"
"2035",896,"MESH:D001919"
"2036",896,"MESH:D002389"
"2037",896,"MESH:D002493"
"2038",896,"MESH:D019970"
"2039",896,"MESH:D003221"
"2040",896,"MESH:D016603"
"2041",896,"MESH:D005221"
"2042",896,"MESH:D006212"
"2043",896,"MESH:D006261"
"2044",896,"MESH:D034381"
"2045",896,"MESH:D019693"
"2046",896,"MESH:D006970"
"2047",896,"MESH:D004244"
"2048",896,"MESH:D062787"
"2049",896,"MESH:D006930"
"2050",896,"MESH:D006973"
"2051",896,"MESH:D007022"
"2052",896,"MESH:D007676"
"2053",896,"MESH:D008881"
"2054",896,"MESH:D009336"
"2055",896,"MESH:D009369"
"2056",896,"MESH:D009759"
"2057",896,"MESH:D010300"
"2058",896,"MESH:D020795"
"2059",896,"MESH:D011537"
"2060",896,"MESH:D004409"
"2061",896,"MESH:D004487"
"2062",896,"MESH:D004719"
"2063",896,"MESH:D005234"
"2064",896,"MESH:D005313"
"2065",896,"MESH:D005317"
"2066",896,"MESH:D005355"
"2067",896,"MESH:D005767"
"2068",896,"MESH:D006331"
"2069",896,"MESH:D020179"
"2070",896,"MESH:D008569"
"2071",896,"MESH:D007674"
"2072",896,"MESH:D008107"
"2073",896,"MESH:D020426"
"2074",896,"MESH:D020262"
"2075",896,"MESH:D010024"
"2076",896,"MESH:D016574"
"2077",896,"MESH:D018805"
"2078",896,"MESH:D012771"
"2079",896,"MESH:D012772"
"2080",896,"MESH:D007249"
"2081",896,"MESH:D024821"
