"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","(+)-JQ1","A-485",46907787,118958122,-1.160571435,1.486171036,3.785636282,4.94858393,3.5655
"2","(+)-JQ1","ALVESPIMYCIN HYDROCHLORIDE",46907787,9852573,-6.108341567,-5.966999419,-1.306370055,1.193029316,-11.057
"3","(+)-JQ1","CARFILZOMIB (PR-171)",46907787,11556711,9.626411499,7.836785623,1.138585752,6.885235034,16.442
"4","(+)-JQ1","Ganetespib",46907787,135564985,4.746014222,4.442994243,1.69894336,4.024191036,16.9175
"5","(+)-JQ1","MARIZOMIB",46907787,11347535,6.937388436,6.049000202,-0.227259316,10.1583979,-8.92525
"6","(+)-JQ1","MITOMYCINE",46907787,5746,-3.035090788,-1.451627201,3.555835226,4.446878988,-0.71
"7","(+)-JQ1","MLN2238",46907787,25183872,11.06094319,9.621858075,4.026174181,7.583034646,19.3855
"8","(+)-JQ1","PANOBINOSTAT",46907787,6918837,4.930029865,4.675614605,2.921180545,4.983302573,2.011333333
"9","(+)-JQ1","PROCHLORPERAZINE DIMALEATE",46907787,5281032,-2.562427857,-0.843554925,1.30003787,3.321530136,0.19225
"10","(+)-JQ1","THZ1",46907787,73602827,-4.319320191,-4.082633445,1.775671606,4.388668814,12.6345
"11","(+)-JQ1","VALPROIC ACID SODIUM SALT (SODIUM VALPROATE)",46907787,16760703,8.184301858,8.196611929,-10.89006833,-0.173515223,9.7525
"12","(+)-JQ1","ZOLINZA",46907787,5311,-9.316345087,-9.385166736,-2.104697744,-0.510454486,-5.3165
"13","(-)-BLEBBISTATIN","MARIZOMIB",5287792,11347535,1.032682078,0.164843952,-12.6614013,1.228718236,-12.742
"14","(-)-BLEBBISTATIN","PANOBINOSTAT",5287792,6918837,0.104112007,-5.011089639,-13.53502344,-2.371216182,-8.375
"15","(-)-Indolactam V","MARIZOMIB",105000,11347535,1.028471261,1.5665088,-17.24050828,1.142880753,-8.2415
"16","(-)-Indolactam V","PANOBINOSTAT",105000,6918837,1.791997963,0.898298809,-11.1139395,-0.403388705,1.809
"17","(-)-PARTHENOLIDE","MARIZOMIB",7251185,11347535,2.875181858,1.71085236,-11.85940778,3.236566607,-1.0495
"18","(-)-PARTHENOLIDE","PANOBINOSTAT",7251185,6918837,3.30832068,3.576803976,-3.915158328,3.134328544,4.0085
"19","(6-)E-<U+200B>AMINOCAPROIC ACID","MARIZOMIB",564,11347535,0.77983519,1.607356122,-16.81833466,3.247620482,-12.19
"20","(6-)E-<U+200B>AMINOCAPROIC ACID","PANOBINOSTAT",564,6918837,-3.207144894,-3.000987254,-2.31347617,2.214879847,-11.64
"21","(6R)-5,10-Methylenetetrahydrofolate","MARIZOMIB",135398645,11347535,0.884431083,0.856691373,1.54318481,3.658483005,-11.246
"22","(6R)-5,10-Methylenetetrahydrofolate","PANOBINOSTAT",135398645,6918837,6.068614544,4.917193493,2.764867293,9.057804572,11.2885
"23","(R)-Etodolac","MARIZOMIB",667528,11347535,8.283210656,7.660199574,-12.43448203,3.251033919,2.657
"24","(R)-Etodolac","PANOBINOSTAT",667528,6918837,4.263032506,0.90027565,-17.66831419,-2.585923877,2.125
"25","1-(1-Naphthylmethyl)piperazine","MARIZOMIB",701891,11347535,0.248128281,-2.563731604,-29.57192654,-2.444913485,-4.959
"26","1-(1-Naphthylmethyl)piperazine","PANOBINOSTAT",701891,6918837,2.946362678,2.862778325,-8.532520339,0.877394766,2.091
"27","1-DOCOSANOL","MARIZOMIB",12620,11347535,-0.371015473,-3.661734817,-31.02884283,-4.516594077,-11.4505
"28","1-DOCOSANOL","PANOBINOSTAT",12620,6918837,1.214098567,-0.12693141,-13.72739888,1.731226242,-0.546
"29","1-Methyl-D-tryptophan","MARIZOMIB",405012,11347535,-1.633512482,-4.563046494,-29.51694926,-4.831739709,-19.5035
"30","1-Methyl-D-tryptophan","PANOBINOSTAT",405012,6918837,-4.461477097,-5.501952841,-13.9297848,0.959036282,-9.0245
"31","10-Deacetylbaccatin III","MARIZOMIB",154272,11347535,-0.450408378,-0.935190774,-13.9313719,1.091684642,-10.5975
"32","10-Deacetylbaccatin III","PANOBINOSTAT",154272,6918837,2.222999055,3.059022805,-0.942724067,5.421065932,9.2445
"33","10-Hydroxycamptothecin","MARIZOMIB",97226,11347535,-3.229982459,-3.82829935,-2.232943162,2.984723645,-24.8795
"34","10-Hydroxycamptothecin","PANOBINOSTAT",97226,6918837,0.520440896,0.15093479,7.847461356,9.595934661,-8.4245
"35","10-epi-Aclacinomycin A","MARIZOMIB",154943,11347535,1.693791619,1.524491498,-3.984964931,-0.030061596,-9.188
"36","10-epi-Aclacinomycin A","PANOBINOSTAT",154943,6918837,4.412422393,3.468340561,1.523211679,3.56481471,11.635
"37","10058-F4","MARIZOMIB",1271002,11347535,1.050606706,1.614372445,1.109620287,1.765067764,-6.019
"38","10058-F4","PANOBINOSTAT",1271002,6918837,3.645752263,4.065788197,-16.8054025,5.122035048,6.2045
"39","10074-G5","MARIZOMIB",2836600,11347535,7.645102408,8.209671276,-0.974001153,3.886279876,6.7895
"40","10074-G5","PANOBINOSTAT",2836600,6918837,2.305361209,2.022365922,3.169819741,3.341454732,2.173
"41","1022958-60-6","MARIZOMIB",91827701,11347535,-0.083891818,-2.693943677,-32.8287183,-3.009383397,-7.5915
"42","1022958-60-6","PANOBINOSTAT",91827701,6918837,2.018037112,2.483107043,-2.505908999,4.036346778,6.1905
"43","1037624-75-1","MARIZOMIB",46215462,11347535,9.480710277,13.19066084,-23.50446809,4.152594636,10.6365
"44","1037624-75-1","PANOBINOSTAT",46215462,6918837,4.61372761,7.261014824,0.935078927,2.308753729,15.3945
"45","1044870-39-4","MARIZOMIB",135564749,11347535,-0.721149483,-2.319341717,-30.03530483,-1.517448314,-11.8735
"46","1044870-39-4","PANOBINOSTAT",135564749,6918837,3.716851693,3.289572351,-19.65007914,2.534327506,-1.3795
"47","1047953-91-2","MARIZOMIB",45942672,11347535,3.422604712,0.95229927,-0.90136995,2.405542519,-1.78
"48","1047953-91-2","PANOBINOSTAT",45942672,6918837,5.960190047,5.23444213,-8.690635535,3.195620633,8.181
