"","Pubchem.Compound.ID","entrezID"
"84",247,596
"242",444,6531
"243",444,6530
"244",444,1136
"245",444,3359
"272",564,5340
"273",564,5327
"274",564,4018
"503",896,4543
"504",896,4544
"505",896,2099
"506",896,6096
"507",896,801
"508",896,4353
"509",896,8288
"510",896,811
"511",896,438
"512",896,4835
"514",936,3939
"515",936,683
"516",936,142
"518",936,23408
"519",938,8843
"520",938,338442
"521",938,23475
"522",938,4837
"528",967,1723
"733",1102,7296
"735",1102,153
"736",1102,154
"771",1123,2741
"772",1123,2904
"773",1123,2742
"774",1123,8001
"775",1123,2554
"776",1123,2555
"777",1123,2556
"778",1123,2557
"779",1123,2558
"780",1123,2559
"781",1123,2560
"782",1123,2561
"783",1123,2562
"784",1123,2563
"785",1123,2564
"786",1123,2565
"787",1123,2566
"788",1123,2567
"789",1123,2568
"790",1123,55879
"791",1123,2550
"1017",1983,5742
"1018",1983,5743
"1019",1983,10728
"1020",1983,7442
"1054",2094,7498
"1095",2145,1588
"1096",2145,1583
"1121",2159,1814
"1122",2159,1813
"1123",2159,3363
"1124",2159,3356
"1159",2161,6283
"1160",2161,6284
"1161",2161,3562
"1162",2161,2246
"1231",2179,7153
"1232",2179,3757
"1233",2179,5004
"1234",2179,213
"1236",2187,1588
"1237",2196,3356
"1238",2196,1813
"1239",2196,2891
"1240",2196,2892
"1270",2244,5742
"1271",2244,5743
"1272",2244,1645
"1273",2244,5562
"1274",2244,5563
"1275",2244,5564
"1276",2244,5565
"1277",2244,5571
"1278",2244,51422
"1279",2244,53632
"1280",2244,1909
"1281",2244,7157
"1282",2244,3309
"1283",2244,6197
"1284",2244,4792
"1285",2244,7130
"1286",2244,834
"1287",2244,836
"1288",2244,3551
"1289",2244,5594
"1290",2244,225689
"1291",2244,5595
"1292",2244,5596
"1293",2244,5597
"1294",2244,5598
"1295",2244,595
"1296",2244,4609
"1297",2244,5111
"1308",2265,3251
"1309",2265,5879
"1357",2351,773
"1358",2351,8912
"1359",2351,9254
"1360",2351,476
"1361",2351,3784
"1362",2351,7134
"1363",2351,801
"1364",2351,5153
"1365",2351,5136
"1366",2351,3757
"1368",2353,332
"1388",2369,153
"1389",2369,154
"1398",2375,367
