"","gene_ID_1","gene_ID_2"
"2",3615,3615
"9",5571,9817
"12",23569,307
"17",817,817
"25",6820,6820
"30",1198,1198
"31",4860,4860
"40",1196,6733
"43",1195,5152
"46",6733,6733
"64",1198,6733
"73",51185,57144
"91",3939,5602
"93",50484,50484
"115",6284,6284
"119",4137,6714
"126",23475,23475
"131",10188,10188
"133",1890,1890
"134",1956,2242
"138",2064,640
"146",1956,6850
"148",95,95
"152",2064,9479
"158",5587,5603
"163",1956,5753
"164",5562,5571
"166",1956,27
"171",5805,5805
"175",25,2550
"180",5696,5698
"185",2066,25
"195",11184,6714
"197",1460,1460
"202",8737,8737
"206",1956,640
"207",3984,5566
"213",5163,5586
"215",1645,5595
"227",5565,5571
"229",207,5590
"230",5747,7525
"233",2104,2104
"237",2064,25
"239",208,836
"245",9874,9874
"254",1452,8737
"259",1644,367
"261",4750,4750
"262",1196,1196
"263",27,6714
"268",351,4137
"271",112399,3091
"273",836,836
"275",11184,25
"278",22978,22978
"283",5689,5696
"286",816,816
"293",2937,2937
"299",2064,7006
"305",11183,2534
"307",5563,5565
"309",2066,6850
"319",11184,2534
"328",4214,673
"332",10135,135
"336",332,332
"338",2534,2550
"360",2534,778
"364",6622,6622
"372",3039,3043
"380",3320,3320
"382",6240,6240
"383",79837,79837
"384",4751,79858
"385",25,887
"387",5605,5605
"392",3690,3690
"393",572,599
"398",2064,27
"399",5563,5571
"402",1196,1198
"403",10013,2534
"413",3091,3326
"420",4792,9475
"421",60,60
"426",2064,2241
"436",5698,8648
"440",1460,6197
"444",1956,9479
"452",2064,6850
"455",29110,29110
"456",3251,3251
"466",4137,4137
"469",135,135
"478",596,596
"482",5562,5565
"483",5888,5888
"486",4137,6195
"487",5588,5590
"488",1956,7535
"493",55869,7157
"499",840,840
"502",3690,9479
"504",2321,7422
"506",2534,887
"509",2534,3362
"516",10019,1956
"522",1956,660
"524",51765,51765
"528",4130,785
"532",1147,1147
"538",2064,2268
"539",2931,351
"542",5152,5152
"548",2064,3716
"551",351,351
"552",3551,4214
"566",10019,2064
"569",142,142
"572",2534,27
"578",207,55300
"580",367,7157
"582",2931,4137
"585",59341,59341
"587",207,4137
"589",5111,5111
"590",2064,660
"598",2155,2155
"601",367,60
"608",23678,5163
"611",2066,27
"615",2064,7294
"618",2064,3702
"627",7157,8550
"628",2064,2064
"629",2261,2261
"632",1612,1612
"633",1432,3984
"634",10733,10733
"636",1612,8678
"637",8767,8767
"638",673,673
"639",11200,11200
"640",3480,3480
"642",4067,4067
"643",695,695
"644",4216,4216
"646",2534,2534
"650",1969,1969
"651",11200,7157
"652",5580,5580
"653",1956,25
"654",3984,9261
"655",6714,6714
"656",1956,1956
"659",2475,2475
"660",5600,7157
"661",25,2534
"671",6256,8648
"680",1513,2261
"685",5058,5879
"686",5004,5054
"699",4860,7157
"700",154,6714
"706",5605,5894
"707",2146,476
"711",1950,1956
"713",5914,6258
"721",306,7157
"726",5915,6258
"733",10114,3985
"737",3105,567
"748",613,7157
"759",1612,5595
"767",10499,367
"768",5606,9149
"778",2159,5564
"781",2064,4145
"782",596,8678
"783",351,9479
"784",367,8648
"787",5914,6257
"791",596,598
"798",208,2932
"799",2580,367
"802",2246,2261
"811",572,598
"826",5347,7157
"828",142,7157
"829",5597,8550
"833",4790,4792
"837",2280,7046
"839",2268,6850
"853",2534,5580
"860",2475,5170
"864",2534,5588
"872",5465,6258
"873",598,7157
"877",4216,5608
"881",3932,6850
"882",572,596
"885",2246,2263
"907",1460,4067
"913",3065,4790
"917",4137,6197
"918",1956,3717
"936",2534,4137
"945",3091,3320
"963",375,9266
"979",2099,8648
"984",5915,6257
"991",5914,8648
"996",207,836
"997",5914,6256
"1012",2280,2475
"1016",10062,6257
"1027",5584,5879
"1028",1457,3091
"1034",25,6714
"1038",5058,5894
"1041",1147,4792
"1044",2932,4137
"1048",9113,983
"1049",3654,51135
"1050",5347,7465
"1053",207,2932
"1054",1432,9261
"1056",207,5170
"1059",3932,7535
"1061",2932,7157
"1064",5598,5607
"1067",11200,5347
"1068",3551,4792
"1069",207,2475
"1071",190,2104
"1074",6258,7376
"1081",10062,6258
"1089",142,817
"1100",56655,7153
"1102",5144,5567
"1113",3066,3309
"1117",1022,1025
"1132",1017,7150
"1138",7514,9212
"1144",3065,3309
"1148",5426,7153
"1161",7150,7846
"1165",3066,3326
"1167",7846,81027
"1190",56655,7155
"1198",56655,7150
"1218",595,983
"1220",142,5426
"1245",5427,7155
"1250",3309,3326
"1252",5422,7155
"1259",142,890
"1268",2185,3685
"1282",5426,7150
"1283",7150,9221
"1324",154,3778
"1332",3312,5591
"1351",142,811
"1365",3065,3320
"1376",142,3309
"1390",801,811
"1406",3784,5567
"1411",54107,5422
"1417",7155,7421
"1420",81027,9221
"1429",153,5567
"1439",28996,3065
"1450",5426,890
"1484",3066,3312
"1488",2263,4067
"1491",5111,7153
"1506",6122,81027
"1508",3309,3320
"1522",6122,7150
"1523",2263,2534
"1524",1017,142
"1529",7150,7155
"1533",7846,84790
"1575",7150,81027
"1592",142,60
"1594",3932,819
"1598",5566,5567
"1599",5422,56655
"1601",3312,7153
"1607",7846,9221
"1611",3065,60
"1624",1956,3690
"1632",3065,3312
"1637",3065,3326
"1646",2099,3066
"1660",6714,817
"1667",5111,5427
"1683",54107,7153
"1704",5111,56655
"1710",1017,5426
"1716",5422,7153
"1721",142,983
"1744",1080,154
"1745",5111,54107
"1752",23450,8841
"1778",3309,811
"1794",142,7155
"1799",5422,5427
"1820",23450,8899
"1847",7150,890
"1853",5422,7150
"1855",142,6714
"1883",5427,7150
"1893",5422,890
"1908",6122,7846
"1917",6790,9212
"1920",5426,7155
"1958",5591,7153
"1974",3066,3320
"1975",3066,60
"2005",54107,7155
"2011",3309,801
"2028",54107,7150
"2031",5427,7153
"2049",1956,3685
"2070",60,7155
"2105",5111,7155
"2116",5426,983
"2117",6122,9221
"2138",153,5566
"2139",7150,983
"2149",5111,5422
"2171",3312,3326
"2174",3326,60
"2177",10856,4609
"2182",3932,4067
"2189",5427,56655
"2192",3784,5566
"2200",1457,1459
"2206",332,6790
"2210",2534,4067
"2214",3312,60
"2227",2534,3932
"2249",2155,2159
"2253",54107,5427
"2265",10499,3551
"2273",332,7514
"2278",1137,1141
"2283",10856,60
"2292",142,7150
"2297",10499,1147
"2303",3320,3326
"2305",5426,56655
"2308",7150,7153
"2310",7153,7155
"2324",1022,3066
"2338",3309,3312
"2345",203068,7277
"2347",3066,8841
"2351",5422,5426
"2365",2534,7525
"2369",5426,5427
"2370",5144,5566
"2373",54107,5426
"2381",10499,8648
"2383",5111,7150
"2387",4067,7525
"2399",1019,5111
"2407",1017,595
"2411",2339,2342
"2419",2064,5287
"2422",1956,5287
"2425",5690,5693
"2429",5689,5693
"2432",5689,5690
"2434",1459,1460
"2435",1017,890
"2436",332,9212
"2438",1457,1460
"2441",28996,7157
"2442",3065,3066
"2449",3678,3690
"2450",3685,4323
"2454",5888,7157
"2456",1786,3065
"2458",5111,983
"2460",3065,8841
"2462",3312,3320
"2463",2185,3690
"2466",3091,328
"2468",4306,8648
"2472",3690,5747
"2475",1017,5422
"2479",1786,5111
"2482",1017,5111
"2486",2099,7157
"2488",3685,5029
"2490",142,5422
"2491",5111,5426
"2492",5595,9759
"2495",54107,56655
"2501",5422,983
"2514",5111,595
"2515",5594,9759
"2522",890,983
"2537",3082,4233
"2539",332,3619
"2541",1021,595
"2543",3685,3690
"2544",1956,2064
"2545",1019,595
"2546",7046,7048
"2547",1022,2099
"2548",207,367
"2550",3690,6714
"2551",5580,6714
"2552",3619,9212
"2554",2099,6714
"2556",1147,2099
"2561",6257,7421
"2568",2099,2932
"2569",1019,1457
"2571",1021,5127
"2572",5580,5587
"2573",1457,5594
"2574",5582,5587
"2578",5170,5604
"2579",5603,7157
"2580",2890,817
"2581",2268,3815
"2582",1019,1460
"2584",5241,5594
"2585",5058,6790
"2586",4233,5590
"2587",207,5579
"2591",5594,7272
"2593",1025,4137
"2594",2931,5584
"2601",5602,9479
"2603",1017,5595
"2605",1021,2903
"2606",150,5578
"2607",5606,5606
"2608",2904,5588
"2610",5578,5734
"2614",5594,5610
"2615",5465,5602
"2616",5600,6256
"2618",1025,6241
"2620",1051,5598
"2624",10499,5594
"2625",1454,6571
"2626",2893,5590
"2628",4985,5582
