"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-0.988552804,-1.178424653,-25.46458463,-3.264383036,3.364
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,1.048755155,-2.612031269,-10.55234354,-8.008887578,-0.9925
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,4.055295125,3.142056031,-0.867727796,-2.183361356,4.003
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,4.286825213,0.266950731,-8.759208305,-8.8033316,5.753
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,0.451729843,-1.207220991,-3.654881835,-3.136665067,-3.4595
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,-1.670448512,-3.091976736,-4.66151845,-2.721874531,-1.5765
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-2.284498682,-4.865608842,1.893673709,-4.338606808,-4.994
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,1.365258209,4.710209611,-4.222720928,-0.176378753,3.7905
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BORTEZOMIB",400633,387447,0.973434352,-0.128191733,-46.48600776,-5.11212845,31.035
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,1.351515469,-3.364808025,-6.874583881,-7.425510354,-1.082
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,0.252261385,2.323936371,0.726415455,1.310147272,0.672
"13","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,0.087761607,-1.461918697,-2.637994433,-5.698887489,0.199
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,-0.08557365,0.212064704,-1.735167807,-2.308282244,1.171
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,0.793417216,1.890118599,0.417402107,-0.228917107,2.8155
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,-0.545141584,0.30658391,-3.654878743,-0.303456137,1.399
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DOCETAXEL",400633,148124,2.239465337,7.123312036,2.066271052,2.433144912,6.511
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,0.23044194,0.943246849,-3.030355599,-0.635224189,-0.1295
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,-2.374445097,-2.860324376,-2.147691903,-2.510823856,0.2005
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,0.615060989,4.625592341,-9.708129729,-3.518887311,5.9055
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,3.813915415,0.836689149,-2.215246678,-4.122093422,1.492
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,5.953438744,0.715331363,-2.8882809,-0.537716369,0.135
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,-1.925233888,-5.937109873,-4.918887418,-7.075773674,-6.6715
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,-0.4667029,-3.277957859,-2.645998442,-4.634549285,-3.999
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,-4.473965072,2.846026511,-14.39453503,2.480006,4.5075
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,-1.679329005,-0.69018233,-11.49671111,-1.281303622,4.535
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,0.175271107,1.208837142,-4.311098162,-2.100763278,2.1495
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,1.009472714,2.090967259,1.24999105,1.25000163,1.252
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,-1.741108549,-0.996671638,-5.371566886,0.085476422,1.0045
"31","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOTANE",400633,4211,2.851577511,10.33065967,4.805441928,4.384446075,7.8635
"32","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC 85998",400633,23615975,-3.068902922,-5.401154983,-6.172954753,-4.833551452,-5.7845
"33","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC-127716",400633,16886,2.223818015,-1.066490579,-9.589352414,-7.9844428,-4.971
"34","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC733504",400633,54608520,-0.540155736,-3.615799065,-4.288573547,-5.966883504,-6.2035
"35","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PIPOBROMAN",400633,4842,-1.145148799,-4.227621842,-10.37790807,-6.716649422,-3.0855
"36","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PRALATREXATE",400633,148121,2.132898938,2.557554508,0.463247354,-2.844442814,1.3795
"37","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PROCARBAZINE HYDROCHLORIDE",400633,9703,2.249080873,0.463774748,0.884748824,-2.304718748,3.8085
"38","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","QUINACRINE HYDROCHLORIDE",400633,5351141,1.252589581,3.021758913,-33.57420563,-6.152220689,16.668
"39","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ROMIDEPSIN",400633,5352062,-5.978023899,-6.093415542,-3.147773074,-2.665461556,-3.3295
"40","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SN-38",400633,104842,-1.197538479,-0.549651537,-29.23001401,0.854662676,1.918
"41","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SORAFENIB",400633,216239,5.866503286,-4.743138475,-0.732996856,-6.031138067,0.16
"42","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SUNITINIB",400633,5329102,1.274072975,2.027125791,-0.897181655,-0.068887259,0.717
"43","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","THALIDOMIDE",400633,5426,4.022010103,6.187486616,3.402001576,1.885467754,6.1015
"44","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TOPOTECAN HYDROCHLORIDE",400633,60699,-1.868743402,-0.316529798,-2.931609496,-1.561016578,4.127
"45","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TRIETHYLENEMELAMINE",400633,5799,-3.153249241,-3.59095976,-3.270584163,-2.281061089,-2.1765
"46","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLEDRONIC ACID",400633,68740,-0.046640602,-3.136337776,-1.494444627,-3.480909256,-6.4265
"47","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLINZA",400633,5311,-2.915666514,-4.598171868,-3.964427965,-2.652204385,-1.353
"48","34793-34-5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE",248862,400633,2.314586844,3.496230269,-4.363933437,-3.451109481,4.3625
"49","34793-34-5","ADM HYDROCHLORIDE",248862,32874,-2.716099,-1.934005892,-18.13033246,-2.084696744,2.2195
"50","34793-34-5","ALLOPURINOL",248862,2094,1.621826311,-0.204230457,-6.99901019,-4.523315784,1.1095
"51","34793-34-5","AMIFOSTINE",248862,2141,8.610001615,15.40824162,1.458494113,1.330001333,14.4315
"52","34793-34-5","AMINOLEVULINIC ACID HYDROCHLORIDE",248862,123608,-1.920890095,0.148585592,0.793423453,-0.063239333,6.0065
"53","34793-34-5","ANASTROZOLE",248862,2187,-0.396336315,2.404147935,1.830175903,2.087588367,3.0865
"54","34793-34-5","ANTIBIOTIC AD 32",248862,41744,9.924516454,14.34779205,8.447135888,11.70202971,30.596
"55","34793-34-5","ANTIBIOTIC AY 22989",248862,54600319,-0.898454282,0.675777143,-10.69253231,-2.155553925,0.3015
"57","34793-34-5","AZACYTIDINE",248862,1805,1.225106303,4.255268921,1.368317159,0.434756189,-0.132
"58","34793-34-5","BLEOMYCIN",248862,5360373,-0.15364348,-0.219962055,-5.309387595,-1.76661644,1.0575
"59","34793-34-5","BORTEZOMIB",248862,387447,3.864170202,1.87244538,-41.6865384,-4.133239561,36.251
"60","34793-34-5","BUSULFAN",248862,2478,-0.103572748,-3.121432224,-3.016357582,-4.264472733,-2.3855
"61","34793-34-5","CARMUSTINE",248862,2578,2.070240298,1.23306129,-3.090753547,-2.838030067,-2.0835
"62","34793-34-5","CHEMBL277800",248862,354624,-0.386419851,-6.091497805,-5.443155155,-8.301110267,-3.1455
