"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,0.371640953,-0.110730456,-24.77517797,-0.515760484,2.5965
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,1.977420985,1.311423323,-2.521397317,-2.212220592,0.4425
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,4.852096973,5.919420423,-0.069262707,-0.5742024,6.566
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,-0.919254363,3.850214644,0.25898021,1.312083211,2.5255
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,-1.017096778,-2.832636029,-4.444888158,-3.554426911,-2.1665
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,-3.74005114,-2.28876317,3.981468815,1.75096981,2.613
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,1.004155013,4.758692681,-9.850252347,1.007698556,-0.0275
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,-0.886265382,-0.929409803,-13.02156164,-0.32999837,-4.7045
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BORTEZOMIB",400633,387447,0.382974186,-2.055222924,-66.3134345,-3.931109481,10.034
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,-1.470529258,-3.63042278,-5.588813052,-4.472986467,-6.834
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,-4.080866032,-1.575888788,-10.56970473,-3.525553925,-0.172
"13","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,-4.350025286,-8.340329023,-11.30894751,-4.80076342,-7.3125
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,5.165996393,6.557938644,-2.822776101,-1.656665036,8.852
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,2.173383272,6.56744237,2.664999206,2.695557111,5.994
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,-1.59404503,1.300801405,-6.887941434,2.739237033,4.775
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DOCETAXEL",400633,148124,-4.750876899,-6.621253333,-3.569312249,-4.082408656,-9.043
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,-2.003894394,-0.918452137,-13.36454413,-1.167776266,2.9805
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,2.981607993,4.73091916,-2.369733059,-1.498887259,8.9405
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,1.461773866,0.454391403,-4.320639958,-4.045553925,1.7535
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,0.885137183,-0.597049393,-4.372727527,-3.376519533,-2.462
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,-2.437236881,-0.610445737,-14.10907037,-1.999993789,-3.867
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,-0.751208885,3.020415391,3.101233609,2.20921683,-0.0715
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,-3.878483648,-6.150240306,-3.21613008,-3.096805678,-4.437
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,0.893974517,-1.961524929,-31.01396271,-3.563331703,-19.0315
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,-0.489488088,-0.750020525,-2.055270708,-1.408701589,-1.1345
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,0.149884865,-0.554948425,-1.743943958,-1.511934358,-1.4315
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,-3.460639894,-6.267218241,-0.182741221,-3.491109222,-6.398
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,-4.587693587,-3.989284095,-12.14151473,-3.099981667,-2.572
