"","gene_ID_1","gene_ID_2"
"2",3615,3615
"28",9453,9453
"119",4137,6714
"163",1956,5753
"166",1956,27
"237",2064,25
"263",27,6714
"320",3980,6714
"370",25,3980
"382",6240,6240
"398",2064,27
"403",10013,2534
"456",3251,3251
"466",4137,4137
"478",596,596
"504",2321,7422
"538",2064,2268
"548",2064,3716
"572",2534,27
"628",2064,2064
"638",673,673
"642",4067,4067
"643",695,695
"646",2534,2534
"650",1969,1969
"653",1956,25
"655",6714,6714
"656",1956,1956
"661",25,2534
"819",10381,3978
"913",3065,4790
"918",1956,3717
"936",2534,4137
"1034",25,6714
"1175",3978,7150
"1484",3066,3312
"1488",2263,4067
"1523",2263,2534
"1529",7150,7155
"1575",7150,81027
"1601",3312,7153
"1632",3065,3312
"1646",2099,3066
"2182",3932,4067
"2210",2534,4067
"2227",2534,3932
"2308",7150,7153
"2310",7153,7155
"2347",3066,8841
"2365",2534,7525
"2387",4067,7525
"2429",5689,5693
"2442",3065,3066
"2460",3065,8841
"2544",1956,2064
"2554",2099,6714
"2581",2268,3815
"2738",5170,5979
"2788",2534,613
"2955",1445,7525
"2981",4067,613
"3014",1432,3932
"3045",5753,6777
"3146",27,5159
"3190",4067,4133
"3302",27,27
"3311",25,4233
"3341",25,4067
"3352",1432,2908
"3439",1432,367
"3476",2324,6714
"3503",1588,6714
"3527",25,7150
"3600",2099,25
"3704",1432,2534
"3730",1432,2260
"3907",25,5159
"3935",5156,6714
"3987",3815,3815
"3990",1432,1956
"4000",2260,2260
"4004",1436,1436
"4010",5159,5159
"4011",367,6714
"4014",2324,2324
"4022",5170,5170
"4028",5753,5753
"4039",2268,2268
"4050",3717,3717
"4063",4914,4914
"4081",7525,7525
"4099",7010,7010
"4103",4233,4233
"4109",5979,5979
"4113",2322,2322
"4119",2263,2263
"4121",25,25
"4132",2321,2321
"4134",3932,3932
"4145",5894,5894
"4152",10013,1956
"4159",3791,3791
"4163",238,238
"4172",5156,5156
"4399",1956,367
"4414",1003,1445
"4446",3065,7155
"4570",5159,7525
"4593",1436,7525
"4616",2064,6714
"4708",3312,5894
"4798",2321,3791
"4852",3312,8841
"4881",2534,3791
"4914",2268,6714
"4940",1436,4067
"4966",5159,6777
"4971",367,5894
"5012",25,3716
"5104",2534,3717
"5169",2100,6714
"5212",3065,367
"5240",5159,5894
"5271",5894,673
"5338",25,3815
"5351",2908,4790
"5369",3815,695
"5398",3932,5894
"5440",4790,8600
"5475",25,4914
"5477",1956,4233
"5484",613,6714
"5488",3716,5894
"5504",3717,7525
"5513",2908,367
"5589",3066,7153
"5601",10013,7277
"5744",2224,2260
"5758",2534,5894
"5785",1003,1969
"5790",2908,6777
"5797",6777,7010
"5874",3312,4137
"5994",4137,7277
"6018",2321,7525
"6019",1956,1969
"6023",5241,6714
"6031",2099,2100
"6042",1003,3791
"6073",2100,3932
"6075",2099,367
"6109",1432,5979
"6196",1956,2099
"6214",367,4790
"6251",2064,3717
"6255",25,4137
"6269",5894,596
"6289",51311,695
"6298",1436,2534
"6402",2064,2099
"6449",3717,4067
"6459",1956,5159
"6465",2099,4790
"6522",4233,6714
"6544",27,613
"6570",3717,6777
"6624",3717,613
"6648",2534,7277
"6721",3065,7153
"6734",3791,7422
"6780",5156,6777
"6793",1956,4067
"6824",1956,7277
"6831",3815,6777
"6841",2908,5894
"6890",3312,3717
"6902",2321,2534
"6920",3717,3815
"6976",3717,5159
"7011",3717,5894
"7042",3791,7525
"7084",3716,5156
"7181",25,695
"7193",2099,3932
"7197",3815,3932
"7213",3791,6714
"7214",5894,6714
"7220",1445,6714
"7234",2534,3815
"7262",1956,6777
"7341",5156,5159
"7361",5170,6714
"7370",2534,4133
"7388",1956,6714
"7412",3815,4067
"7415",4067,695
"7429",1445,2534
"7482",5159,6714
"7484",6714,6777
"7501",2534,5159
"7506",3815,7525
"7528",25,3717
"7574",1445,4067
"7597",1432,596
"7599",25,613
"7602",1432,2099
"7622",1445,3932
"7628",5979,6714
"7644",25,27
"7646",1445,2268
"7657",3815,6714
"7662",1003,6714
"7704",2324,3791
"7732",2224,9453
"7783",1719,7298
"8666",1586,1588
"9586",1588,5743
"9690",2618,5471
"9939",2099,5241
"9974",367,367
"9982",2908,2908
"10112",5170,7153
