"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-1.15310346,-2.289064558,-44.78207044,-3.620217473,2.994
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,-0.021574342,0.452749017,-1.370075973,-1.288276278,1.821
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,1.809674233,1.062139058,-3.938908884,-3.922220647,0.3685
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,-2.055903253,3.622358113,1.816413826,2.22766613,13.5575
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,1.414010426,1.165639758,-3.575610994,-2.476665089,2.1885
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,3.847418185,-1.281135083,-0.801265622,-0.765684243,-0.6955
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-3.556741311,-3.318792265,-13.28151335,-1.775207789,2.1955
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,-6.397982459,1.214058667,-15.16498308,-0.331109481,2.3665
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,-1.766225399,1.06264475,-0.446957173,1.427828904,0.341
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,0.016693713,-1.352549675,-9.771086347,-6.043331703,2.055
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,2.977603983,-3.552935444,0.674161374,-1.480218044,-3.997
"14","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,0.948909998,-1.204629222,-1.444789038,-3.232310023,0.158
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,3.209202618,0.928050577,-4.297771569,-4.297776147,2.224
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,-6.5336934,-0.594135537,-60.12758857,1.048922883,0.0585
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DOCETAXEL",400633,148124,-0.243188211,2.972726456,2.397626735,2.379781943,3.436
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,-6.225589012,-4.495596958,-29.12754734,-4.755553925,5.6575
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,-4.63626217,-2.625702,-11.43060625,-4.426605258,-4.485
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,0.013279921,3.238952541,-4.237101807,3.237784433,-13.26
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,0.945908403,0.292653249,-2.903947925,-2.2611095,-0.1305
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,3.231805483,-3.428400324,-1.732195943,-1.729106933,-3.4035
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,2.61799861,2.603258734,-1.278870708,-1.278887556,2.4695
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,1.748113048,0.103680991,-2.744156256,-3.105553925,-0.3205
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,3.164738354,2.039893173,-25.78030325,-0.735555911,2.27
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,-5.6678739,-1.574958259,-24.36965434,-1.231017063,-2.5245
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,-1.26094868,0.453893241,-12.0729145,-1.294585444,6.0665
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,2.790278443,2.1230145,-2.536168871,-2.167732889,3.2165
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,2.116077625,5.585204439,-14.85957755,-2.706665036,11.5715
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOTANE",400633,4211,0.480971731,-1.153034911,-2.224011615,-2.398917089,-1.6765
"31","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC 85998",400633,23615975,1.235806648,1.645537935,-2.24082671,-1.186054322,3.0535
"32","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC-127716",400633,16886,1.931162588,-2.907249569,-7.463748722,-7.095553925,-1.025
"33","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC256439",400633,3685,-0.837814605,-1.453194669,-52.34691612,-2.367215105,26.7345
"34","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC733504",400633,54608520,0.952500625,-1.936490146,-80.70463515,-6.172160378,0.533
"35","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PACLITAXEL",400633,36314,-4.147994493,-4.671015628,-13.06813844,-4.844156226,-6.4845
"36","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PIPOBROMAN",400633,4842,-4.981261358,1.506495764,-0.641898277,3.342569222,5.9845
"37","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PRALATREXATE",400633,148121,2.883276641,-0.1660222,-30.23599591,-1.154444833,-16.42
"38","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PROCARBAZINE HYDROCHLORIDE",400633,9703,3.161120238,3.152677389,-0.201916732,-0.405510354,2.743
"39","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","QUINACRINE HYDROCHLORIDE",400633,5351141,-0.242644055,4.314507022,2.786016947,2.852315994,3.9815
"40","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ROMIDEPSIN",400633,5352062,-1.042941762,-2.319122678,-17.63189723,-0.773456163,16.8285
"41","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SN-38",400633,104842,-1.566612763,2.900883953,-75.36706276,4.173480605,8.291
"42","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SORAFENIB",400633,216239,0.697807824,-0.425485911,-2.997051915,-2.719000536,0.255
"43","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SUNITINIB",400633,5329102,-3.679705273,-13.84573802,-9.040538449,-11.08681508,-19.2795
"44","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TOPOTECAN HYDROCHLORIDE",400633,60699,-5.323779009,-1.660093656,-51.75745702,-4.935554,9.3405
"45","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TRIETHYLENEMELAMINE",400633,5799,-2.599206975,-0.219343994,-0.984926687,0.416666111,-0.8845
"46","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLEDRONIC ACID",400633,68740,1.12442091,-0.358146543,-4.625927881,-3.155553925,1.0165
"47","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLINZA",400633,5311,-4.14903839,-0.023711541,-2.844805467,0.877855343,5.9015
