"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-0.310557305,-1.580742273,-31.33290128,-2.580117226,-2.44575
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,2.531772228,8.278608269,1.242831211,2.050713011,10.558
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,8.987137887,4.504222713,-11.38937178,-13.56888667,0.771
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,4.551852359,8.663787499,-0.626565836,0.432099418,9.2625
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,0.785887876,-7.588918812,-10.52013172,-11.25307507,-4.3035
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,-0.942350493,-3.532716271,-2.468338991,-4.348577089,-2.911
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-2.298659824,-8.881014269,-21.78333996,-11.31429715,-12.564
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,0.85664056,-1.45830968,-29.15277176,-0.685539911,8.049
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BORTEZOMIB",400633,387447,-1.07901769,-5.343483676,-18.61540213,-2.971874531,28.0385
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,2.473971575,2.473268789,-3.996080315,-2.043142537,1.709
