"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-2.067079108,-1.668313185,-24.68305821,-2.203496178,7.276
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,1.248905574,0.82451673,-3.280146126,-2.139841611,0.555
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,4.037604875,2.757913192,-5.097534475,-5.195553925,0.6725
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,1.436776143,3.656911648,-2.780061006,-2.31212845,8.5305
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,0.300644511,0.46596586,-0.652823684,-0.735837656,2.6745
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,2.878536126,0.774382497,-69.62158643,1.140061267,10.722
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-1.321489538,-9.79629771,-33.3513184,-16.91868686,-6.3935
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,-7.009281412,2.259506119,-10.94887569,3.454450711,4.2925
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BORTEZOMIB",400633,387447,0.33776133,-2.740463935,-56.67529873,-3.845207864,-8.1475
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,2.505856416,3.706540553,-0.613080113,-1.316948609,5.844
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,4.467653037,7.080510852,-2.431587255,-0.193045556,6.5915
"13","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,-3.385492982,1.442699818,-6.636930907,2.483438287,9.3255
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,-1.850775145,-3.039574931,-3.138763666,-2.670980021,-4.6115
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,3.006639518,2.043551316,-5.286305266,-4.817777022,5.123
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,-2.776031072,-4.403995163,-8.427750889,-3.443525778,1.899
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,-1.907598666,-2.053971468,-13.30490896,-5.497775732,1.0615
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,3.67631803,5.050377163,-2.152784807,-1.887776147,7.673
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,3.813700476,0.073502234,-7.394509772,-6.31775994,1.095
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,1.866776352,2.361394324,-0.596066337,-0.837805801,2.6755
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,-7.688541941,-4.190890148,-34.1251972,-5.447684006,-0.1085
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,7.485323909,7.850310335,-3.765262464,-3.573404927,7.3245
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,4.174899382,5.244884617,-2.510611531,-1.42104992,8.07
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,7.9408056,7.827376217,-21.28072383,7.763210529,16.207
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,-0.645577178,-5.05352928,-18.74194815,-5.7898712,-6.673
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,-3.692051305,-5.747792715,-5.990904933,-6.530193778,-2.277
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,7.906003365,2.040847187,-5.703101437,-8.801416333,-0.2895
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,-4.321357277,-5.666112416,-56.7327888,-3.646667222,12.662
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOTANE",400633,4211,2.327702964,4.802164026,1.776755809,1.510582889,7.9845
"31","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC 85998",400633,23615975,14.29080029,14.58532737,-1.204395913,-2.003380333,10.534
"32","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC-127716",400633,16886,-0.357901455,-6.13043857,-13.43382478,-8.850893,-3.688
"33","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC256439",400633,3685,-1.330730294,-4.422282041,-59.17947537,-5.137222223,8.1835
"34","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC733504",400633,54608520,2.221083439,3.083431455,-6.148951589,-2.504442814,6.7165
"35","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PIPOBROMAN",400633,4842,-5.336312225,-0.471388023,-6.019270049,0.262272449,0.117
"36","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PRALATREXATE",400633,148121,0.093499007,-1.97033444,-18.75863957,-3.663333889,-12.275
"37","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PROCARBAZINE HYDROCHLORIDE",400633,9703,-0.652514788,-4.266696888,-8.471175791,-7.103288132,-1.793
"38","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","QUINACRINE HYDROCHLORIDE",400633,5351141,-3.4267052,-3.796907384,-8.567994371,-4.075466233,3.557
"39","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SN-38",400633,104842,0.763289697,0.787854897,-33.30047196,0.6913993,-0.848
"40","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SORAFENIB",400633,216239,0.968522112,-0.118934765,-0.802997929,-1.012483867,-1.81
"41","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SUNITINIB",400633,5329102,2.161480965,3.003278742,-5.011685118,0.009807489,6.312
"42","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","THALIDOMIDE",400633,5426,11.77363442,13.91623477,-5.543558534,-3.723332989,12.98
"43","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TOPOTECAN HYDROCHLORIDE",400633,60699,-0.163178888,-1.31693107,-33.43535883,-2.129965756,7.127
"44","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TRIETHYLENEMELAMINE",400633,5799,0.92292938,2.977744867,-13.6051784,0.575562211,0.7535
"45","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLEDRONIC ACID",400633,68740,2.245125512,3.786116479,0.444228908,0.755527532,1.249
"46","34793-34-5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE",248862,400633,1.193999939,0.808011766,-2.800127205,-2.19106591,3.4575
"47","34793-34-5","ADM HYDROCHLORIDE",248862,32874,-4.028809764,0.757998741,-2.243173485,2.268923128,13.79425
"48","34793-34-5","ALLOPURINOL",248862,2094,3.133382318,0.463560124,-6.899034891,-5.688887259,2.8735
"49","34793-34-5","AMIFOSTINE",248862,2141,0.657725146,1.882361849,2.346931241,1.153502743,0.9725
"50","34793-34-5","AMINOLEVULINIC ACID HYDROCHLORIDE",248862,123608,-3.550404567,-6.339456507,-10.32490361,-8.34999837,-3.456
"51","34793-34-5","ANASTROZOLE",248862,2187,1.09326058,1.314390066,3.161015563,1.610892992,25.006
"52","34793-34-5","ANTIBIOTIC AD 32",248862,41744,5.020601409,8.712608726,7.306717469,10.74231599,23.749
"53","34793-34-5","ANTIBIOTIC AY 22989",248862,54600319,2.878536126,0.774382497,-69.62158643,1.140061267,10.722
"55","34793-34-5","AZACYTIDINE",248862,1805,10.90989145,9.112072219,-21.49020729,-4.396665036,27.011
"56","34793-34-5","BLEOMYCIN",248862,5360373,-7.766496257,-2.339282693,-1.187951226,2.796873717,0.4415
"57","34793-34-5","BORTEZOMIB",248862,387447,-0.596806952,0.306238251,-39.60776817,0.205649556,12.8755
"58","34793-34-5","BUSULFAN",248862,2478,2.942965538,0.653797111,-4.271064957,-4.051139267,0.6975
"59","34793-34-5","CARMUSTINE",248862,2578,-0.939300389,1.003974909,0.113844707,0.733681384,-0.4985
"60","34793-34-5","CHEMBL277800",248862,354624,-3.385493282,1.442699835,-6.636931533,2.483438333,9.3285
"62","34793-34-5","CO-V",248862,40926,-2.052392973,-0.632616077,-0.023982829,0.137392487,-2.549
"63","34793-34-5","CYCLOPHOSPHAMIDE",248862,2907,2.070599901,8.342714211,1.824807523,2.293335767,10.757
"64","34793-34-5","DASATINIB",248862,3062316,-4.148396045,-0.300868248,1.710714971,1.783427889,2.798
"65","34793-34-5","DOCETAXEL",248862,148124,-1.972394871,-17.80109838,-27.82074507,-23.60444533,-18.133
"66","34793-34-5","ELOXATIN (TN) (SANOFI SYNTHELAB)",248862,24197464,-3.2511894,-4.072185312,-7.478504474,-1.780919311,-3.3315
"67","34793-34-5","EMCYT (PHARMACIA)",248862,54611422,-0.60154677,-1.056784841,-3.208348256,-3.042188228,-0.318
"68","34793-34-5","ERLOTINIB HYDROCHLORIDE",248862,176871,2.386505516,3.407285104,-1.825778641,-1.271250122,2.603
"69","34793-34-5","FULVESTRANT",248862,104741,-6.223795825,0.095336013,-8.125104241,0.074225556,3.696
"70","34793-34-5","GEMZAR (LILLY)",248862,356653,-7.688542182,-4.190890294,-34.12519792,-5.447683933,-0.477
"71","34793-34-5","IFOSFAMIDE",248862,3690,5.707959303,15.11466681,3.857594524,4.421265656,11.2625
"72","34793-34-5","IMIQUIMOD",248862,57469,0.091891031,-3.272097633,-4.429196256,-4.749971818,-1.617
"73","34793-34-5","IXABEPILONE",248862,6445540,6.581157697,4.918641876,-12.51446713,6.056541811,13.203
"74","34793-34-5","LAPATINIB",248862,208908,-0.008609654,0.76596175,-35.56076147,-1.887889756,4.192
"75","34793-34-5","MECHLORETHAMINE HYDROCHLORIDE",248862,5935,-1.212824895,-2.258893916,-7.151167283,-3.242985311,2.6005
"76","34793-34-5","METHOXSALEN",248862,4114,11.75183374,16.95670394,11.20322341,5.880946517,12.376
