"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-2.764531918,-7.206975625,-43.47238075,-7.559840403,-11.683
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,-2.406045915,1.857727937,-4.869909116,1.656760573,5.0355
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,6.333887819,8.750087396,-2.438506241,-1.767776147,9.3885
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,1.496313935,3.4451905,-0.993740631,-0.383585622,11.596
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,-0.047401561,0.768039844,-0.547724179,-0.052750445,3.9465
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,1.781850783,1.297704851,-2.351061371,-1.6199985,2.306
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-0.49404032,0.267350767,-40.08462107,-1.752220592,24.898
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,0.752458011,0.185697195,-31.1507734,-1.235553925,-1.381
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,-7.391561305,-1.543434503,-5.529160836,0.174366167,5.627
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,0.730570257,1.302355843,-5.937797275,-3.063315004,0.0715
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,1.813606832,-0.02817099,-3.231388406,-4.091109533,-0.1505
"14","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,4.809607576,4.338732531,-4.94083293,-3.186789471,3.0415
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,2.469562399,1.900891084,-3.113495781,-2.674442814,1.7375
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,1.167597963,0.091008751,-6.907858751,-4.334442814,-0.8115
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DOCETAXEL",400633,148124,0.403881182,-0.761893066,-3.48150185,-2.882220731,-0.7245
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,-0.070712152,-1.087955612,-31.00165696,-3.873472344,16.0005
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,-4.227922452,0.554613534,-1.682037171,-1.858686844,17.4745
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,2.127932781,3.983731235,0.117710236,0.70437285,5.1825
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,0.147596751,2.574564408,1.819659486,1.679971977,2.4455
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,0.430531043,4.969410303,-6.63934307,2.653334964,8.366
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,3.124500256,2.986534142,-3.079556425,-2.332220592,4.1275
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,4.342418744,2.977660216,-5.742341687,-3.911109481,4.77
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,1.904317845,0.853286472,-31.14804782,-0.606665036,-5.282
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,0.860100835,-0.272089545,-1.135615832,-1.852609911,0.6405
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,0.629256203,-3.666909824,-34.31162616,-3.792204385,-3.643
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,2.676372857,1.740973345,-3.450880032,-2.556665256,2.525
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,5.081512807,1.384401801,-14.51760107,-4.379993344,0.5055
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOTANE",400633,4211,1.220429036,2.234765567,-0.712755969,-0.262220592,5.044
"31","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC 85998",400633,23615975,3.600995878,2.294611726,-1.542521094,-2.097806111,2.375
"32","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC-127716",400633,16886,6.538702068,4.275782646,-7.15101465,-3.442220592,5.6725
"33","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC256439",400633,3685,0.506586773,-1.947204613,-31.54090396,-1.22394658,-6.4425
"34","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC733504",400633,54608520,-2.421624936,-0.45847997,-17.65318093,-4.393331703,4.551
"35","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PACLITAXEL",400633,36314,5.992090561,4.346104283,-4.504435446,3.325557156,5.681
"36","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PIPOBROMAN",400633,4842,9.868282664,9.152243865,-6.544166186,8.6589047,8.897
"37","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PRALATREXATE",400633,148121,3.409773047,1.181639223,-28.01403645,0.395557186,6.3635
"38","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PROCARBAZINE HYDROCHLORIDE",400633,9703,3.871768806,5.604295384,-0.190687851,0.74000163,5.343
"39","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","QUINACRINE HYDROCHLORIDE",400633,5351141,2.120394266,1.512033362,-30.94514068,-0.875553989,14.7765
"40","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ROMIDEPSIN",400633,5352062,1.007711513,0.284507812,-43.47572488,-1.5333318,-11.377
"41","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SN-38",400633,104842,4.295029015,4.779906842,-81.50768146,5.894575534,19.6835
"42","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SORAFENIB",400633,216239,0.860380013,-0.114293133,-4.361478455,-3.603331703,0.752
"43","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SUNITINIB",400633,5329102,0.630190867,0.344748734,-3.650998403,-1.705408258,-0.3425
"44","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","THALIDOMIDE",400633,5426,4.594593435,4.053129954,-3.348968566,-2.506665333,4.3035
"45","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TOPOTECAN HYDROCHLORIDE",400633,60699,1.761465982,1.707828992,-56.20709501,-3.326665036,-11.278
"46","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TRIETHYLENEMELAMINE",400633,5799,3.905772449,2.208058591,-26.73098101,0.358888556,-0.6665
"47","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLEDRONIC ACID",400633,68740,1.166532348,-0.634191743,-3.159765547,-2.66999837,-0.458
"48","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLINZA",400633,5311,-1.766524403,-0.373976745,-16.56826907,-2.814442678,0.347
"49","34793-34-5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE",248862,400633,1.383104375,2.086988279,-2.77775393,-2.375553925,3.1135
"50","34793-34-5","ADM HYDROCHLORIDE",248862,32874,-1.42922111,-3.938456422,-27.13211451,-3.741533896,-8.0875
"51","34793-34-5","ALLOPURINOL",248862,2094,-2.431220175,-0.732387168,-8.769949489,-2.036664877,-4.574
"52","34793-34-5","AMIFOSTINE",248862,2141,-0.511260417,5.891785321,2.704371157,3.320893667,1.398
"53","34793-34-5","AMINOLEVULINIC ACID HYDROCHLORIDE",248862,123608,-2.419209839,-3.106719498,-6.880975283,-5.269998411,0.559
"54","34793-34-5","ANASTROZOLE",248862,2187,1.432250762,-0.936203178,-1.442658026,-0.730218,-1.8325
"55","34793-34-5","ANTIBIOTIC AD 32",248862,41744,-0.909683098,-2.404624655,-3.005058262,0.975605056,-35.342
"56","34793-34-5","ANTIBIOTIC AY 22989",248862,54600319,2.779011642,0.176113933,-7.093283647,-6.362220592,0.057
"58","34793-34-5","AZACYTIDINE",248862,1805,1.269500772,0.44219637,-40.32128773,-1.988887259,27.926
"59","34793-34-5","BLEOMYCIN",248862,5360373,0.835601062,0.306898208,-29.16632896,0.748890519,-0.083
"60","34793-34-5","BUSULFAN",248862,2478,-5.744438314,0.577732581,-4.480529699,-0.286805522,13.719
"61","34793-34-5","CARMUSTINE",248862,2578,-3.391037591,-1.284737255,3.929040754,0.869006482,-2.3285
"62","34793-34-5","CHEMBL277800",248862,354624,3.73613105,-0.405350293,-6.075904242,-7.336665036,1.237
"64","34793-34-5","CO-V",248862,40926,-0.226462036,1.975561574,-0.668737154,-1.576884785,1.016
"65","34793-34-5","CYCLOPHOSPHAMIDE",248862,2907,2.432323101,2.995019231,-0.906829115,-0.467776147,3.202
"66","34793-34-5","DASATINIB",248862,3062316,0.400556917,-1.599392394,-5.844278168,-3.2711096,-2.6935
"67","34793-34-5","DOCETAXEL",248862,148124,1.218659441,-1.912889555,-6.822615041,-6.223331703,-1.535
"68","34793-34-5","ELOXATIN (TN) (SANOFI SYNTHELAB)",248862,24197464,-7.406751056,-3.054012565,-33.18822334,-2.077684006,10.375
"69","34793-34-5","EMCYT (PHARMACIA)",248862,54611422,-7.725358495,-8.835427228,-4.810369963,-6.778652444,-4.583
