"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-3.571777281,-3.228749867,-24.75027069,-2.762505476,-6.38725
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,1.02720002,-0.150581987,-4.396183962,-3.941077078,1.224
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,-0.039762419,-3.730761095,-3.633503983,-4.696730647,-4.2535
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,1.811938001,-1.323181796,-6.477693652,-6.345553922,-2.12
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,2.675565213,0.835188369,-5.142002669,-4.047970289,4.436
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,-1.609754136,5.129947431,-6.719098419,2.389747793,10.3605
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-7.697006667,-10.40351521,-35.24037014,-9.245553925,-7.352
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,-9.484351112,-0.479348265,-44.35494514,0.320016222,11.3705
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BORTEZOMIB",400633,387447,0.573158108,-1.317388552,-36.07263916,-2.688584533,5.7435
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,0.707217065,1.9935391,-4.309254792,-1.706475799,3.11
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,2.763094735,4.586285548,-4.545224278,-2.807776147,8.8865
"13","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,0.041326181,4.241195662,-39.94392886,2.612083211,-0.985
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,3.664054467,6.876321,-0.83685492,-0.676054078,10.426
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,0.766472716,-4.141722978,-6.467893371,-6.325553925,-3.5565
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,0.973494246,1.286457901,-8.332282202,-3.084313354,1.846
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DOCETAXEL",400633,148124,3.029063554,-6.596946987,-3.625818885,-5.297464767,-6.246
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,0.356829859,0.950476727,-22.47659078,-3.535553925,9.344
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,0.798397425,1.018171248,3.757434346,1.669244194,2.5205
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,-0.254231954,5.964340171,2.395908865,4.087699459,6.778
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,3.827972822,3.530362267,-2.703654252,-2.702220592,3.778
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,-0.126181936,2.212563704,-48.27938604,0.829860989,-7.353
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,-1.471483466,-3.835206643,-6.43956694,-6.575510354,-1.356
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,0.37307089,0.65191945,-2.324857228,-0.738654475,0.3325
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,2.088356524,-0.323353339,-26.38466053,-0.416537667,-17.8645
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,-0.768115294,1.409531302,-12.53626483,-2.776648822,-1.218
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,-1.881931077,2.007754212,-5.6440952,1.030147272,4.78
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,1.153760404,-2.95886965,-9.096813226,-7.938843956,-1.682
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,-4.988128604,0.281051226,-32.69900718,-5.974442814,4.4395
"31","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOTANE",400633,4211,9.736553896,9.470532986,8.318111727,8.133305611,1.057
"32","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC 85998",400633,23615975,9.950062436,9.255518175,-2.811098736,-3.1334056,9.5875
"33","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC-127716",400633,16886,-4.164492341,-1.777783526,-7.750068519,-2.214445,-3.7645
"34","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC256439",400633,3685,-1.622766977,-3.978999127,-43.91617688,-3.607430127,4.217
"35","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC733504",400633,54608520,1.291518721,4.940523271,-5.66150797,-0.822220592,2.69
"36","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PACLITAXEL",400633,36314,2.875742769,5.771639694,-34.51852803,-1.42775994,-5.0785
"37","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PIPOBROMAN",400633,4842,-4.622070648,2.607920195,-9.949607455,-0.816665036,-1.115
"38","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PRALATREXATE",400633,148121,2.449083337,-0.055109764,-29.52634414,-0.657762078,-26.743
"39","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PROCARBAZINE HYDROCHLORIDE",400633,9703,7.36601271,5.473100327,-1.585430766,-4.415537718,4.9395
"40","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","QUINACRINE HYDROCHLORIDE",400633,5351141,-7.754609419,-1.908461071,-41.14750397,-3.263331703,14.8995
"41","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ROMIDEPSIN",400633,5352062,-3.482823939,-5.445009854,-50.41331018,-7.71986891,-9.1495
"42","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SN-38",400633,104842,-6.873427443,-1.67186118,-28.76706243,-3.451934309,8.726
"43","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SORAFENIB",400633,216239,-0.191099545,-2.197218157,-3.55411511,-2.54463291,-2.9135
"44","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SUNITINIB",400633,5329102,1.88620234,0.876429255,-2.743501011,-3.228887259,2.6905
"45","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","THALIDOMIDE",400633,5426,7.79331278,3.024272173,-6.231099047,-6.37562715,4.521
"46","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TOPOTECAN HYDROCHLORIDE",400633,60699,1.457787086,0.341109102,-30.27375682,0.017779408,6.7705
"47","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","TRIETHYLENEMELAMINE",400633,5799,0.035084971,-0.46373078,-10.62442465,1.47348063,6.424
"48","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLEDRONIC ACID",400633,68740,-0.789670859,0.37950731,0.850749565,0.904102699,-0.034
"49","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ZOLINZA",400633,5311,-1.959612606,0.329566568,-49.17545619,0.1111105,17.0165
"50","34793-34-5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE",248862,400633,5.714063389,1.796722887,-0.528552566,-0.0513634,2.0525
"51","34793-34-5","ADM HYDROCHLORIDE",248862,32874,-4.048270809,-2.463362395,-18.52685302,-1.255710473,1.272
"52","34793-34-5","ALLOPURINOL",248862,2094,11.48544046,4.795993316,-2.457602165,-0.921874722,5.0095
"53","34793-34-5","AMIFOSTINE",248862,2141,1.657691302,2.100586769,1.030549923,0.488890233,-0.533
"54","34793-34-5","AMINOLEVULINIC ACID HYDROCHLORIDE",248862,123608,2.327317825,1.556021744,-2.55968252,-2.405583579,1.019
"55","34793-34-5","ANASTROZOLE",248862,2187,-0.257314856,-1.107189077,-2.278304884,-1.942440341,-0.385
"56","34793-34-5","ANTIBIOTIC AY 22989",248862,54600319,-1.609753668,5.129947415,-6.719098202,2.389747711,10.4025
"58","34793-34-5","AZACYTIDINE",248862,1805,4.423174389,4.691432277,-24.75148125,1.243334964,23.216
"59","34793-34-5","BLEOMYCIN",248862,5360373,-9.67763762,1.350148741,-24.14934919,1.962081111,15.0175
"60","34793-34-5","BUSULFAN",248862,2478,0.409989023,1.207616908,-2.84816902,-2.314567248,1.798
"61","34793-34-5","CARMUSTINE",248862,2578,1.808609131,2.604038009,0.873572072,1.214251934,5.8595
"62","34793-34-5","CHEMBL277800",248862,354624,0.041326181,4.241195662,-39.94392886,2.612083211,-0.985
"64","34793-34-5","CO-V",248862,40926,-1.107216527,-4.237024732,-3.168173729,-4.2657736,-3.9575
"65","34793-34-5","CYCLOPHOSPHAMIDE",248862,2907,2.497954556,0.343379695,-4.31091441,-4.531139134,2.4475
"66","34793-34-5","DASATINIB",248862,3062316,1.086908249,3.024083762,-5.967836777,-0.514566867,1.8995
"67","34793-34-5","DOCETAXEL",248862,148124,2.470347473,-8.764755679,-16.3278561,-17.52888589,-4.3945
"68","34793-34-5","ELOXATIN (TN) (SANOFI SYNTHELAB)",248862,24197464,-10.64968209,-5.522477248,-21.84446495,-4.101120663,0.369
"69","34793-34-5","EMCYT (PHARMACIA)",248862,54611422,1.701821682,6.244251104,2.238052975,2.496168778,9.5955
"70","34793-34-5","ERLOTINIB HYDROCHLORIDE",248862,176871,4.670668909,11.55801081,7.852575539,9.812284556,9.931
"71","34793-34-5","FULVESTRANT",248862,104741,2.099254049,1.599391509,-9.368179919,-0.465773422,2.94
"72","34793-34-5","GEMZAR (LILLY)",248862,356653,-0.126181936,2.212563704,-48.27938604,0.829860989,-7.353
"73","34793-34-5","IFOSFAMIDE",248862,3690,-4.518724364,-12.7595861,-9.456484574,-10.6943557,-12.1815
"74","34793-34-5","IMIQUIMOD",248862,57469,-0.425079709,-1.650148833,-3.566082977,-2.475708064,-2.802
"75","34793-34-5","IXABEPILONE",248862,6445540,1.107442792,-0.871156477,-26.49812727,-0.427648778,-18.0055
"76","34793-34-5","LAPATINIB",248862,208908,-0.787642663,2.164266664,-5.741117041,-3.032361233,1.2425
"77","34793-34-5","MECHLORETHAMINE HYDROCHLORIDE",248862,5935,-0.23407555,2.399972884,-8.831872978,-1.758887259,1.2145
"78","34793-34-5","METHOXSALEN",248862,4114,-0.363829357,-6.382293022,-7.746224081,-7.308557405,-7.252
"79","34793-34-5","MITOMYCINE",248862,5746,-2.906873514,-0.582234359,-30.62011829,-3.895553925,6.225
"80","34793-34-5","MITOTANE",248862,4211,1.155248884,1.13933719,-11.99300861,0.932004778,0.7905
"81","34793-34-5","NSC 85998",248862,23615975,6.25199039,-1.619790139,-7.507023372,-10.3069719,2.1035
"82","34793-34-5","NSC-127716",248862,16886,-1.47733804,1.24928327,-2.845623852,2.689999667,-2.186
"83","34793-34-5","NSC256439",248862,3685,-1.340965734,-0.414326799,-7.180388664,2.5213344,9.721
"84","34793-34-5","NSC733504",248862,54608520,0.697104515,2.807208332,-6.644840657,-1.956918267,7.2285
"85","34793-34-5","PIPOBROMAN",248862,4842,-5.381919597,1.536439856,-9.880171765,-1.005424297,0.9915
"86","34793-34-5","PRALATREXATE",248862,148121,0.671087761,-1.711257423,-1.379642629,0.521116222,-18.832
"87","34793-34-5","PROCARBAZINE HYDROCHLORIDE",248862,9703,10.93079868,11.72891052,-2.372155705,-3.661110489,9.669
