"","V1","V2"
"2846","MESH:C572845","MESH:C572845"
"2848","MESH:C572845","MESH:D000022"
"2849","MESH:C572845","MESH:D000077192"
"2850","MESH:C572845","MESH:D000077274"
"2851","MESH:C572845","MESH:D000230"
"2852","MESH:C572845","MESH:D000236"
"2853","MESH:C572845","MESH:D000740"
"2854","MESH:C572845","MESH:D001171"
"2855","MESH:C572845","MESH:D001254"
"2856","MESH:C572845","MESH:D001281"
"2857","MESH:C572845","MESH:D001321"
"2858","MESH:C572845","MESH:D001749"
"2859","MESH:C572845","MESH:D001932"
"2860","MESH:C572845","MESH:D001943"
"2861","MESH:C572845","MESH:D002114"
"2862","MESH:C572845","MESH:D002277"
"2863","MESH:C572845","MESH:D002280"
"2864","MESH:C572845","MESH:D002289"
"2865","MESH:C572845","MESH:D002292"
"2866","MESH:C572845","MESH:D002294"
"2867","MESH:C572845","MESH:D002295"
"2868","MESH:C572845","MESH:D002311"
"2870","MESH:C572845","MESH:D002471"
"2872","MESH:C572845","MESH:D002972"
"2873","MESH:C572845","MESH:D003110"
"2875","MESH:C572845","MESH:D003924"
"2876","MESH:C572845","MESH:D004195"
"2877","MESH:C572845","MESH:D004715"
"2878","MESH:C572845","MESH:D005706"
"2879","MESH:C572845","MESH:D005909"
"2880","MESH:C572845","MESH:D005910"
"2881","MESH:C572845","MESH:D005911"
"2882","MESH:C572845","MESH:D006258"
"2883","MESH:C572845","MESH:D006332"
"2884","MESH:C572845","MESH:D006333"
"2885","MESH:C572845","MESH:D006394"
"2886","MESH:C572845","MESH:D006528"
"2887","MESH:C572845","MESH:D006930"
"2888","MESH:C572845","MESH:D006973"
"2889","MESH:C572845","MESH:D007022"
"2890","MESH:C572845","MESH:D007247"
"2891","MESH:C572845","MESH:D007249"
"2892","MESH:C572845","MESH:D007333"
"2893","MESH:C572845","MESH:D007674"
"2894","MESH:C572845","MESH:D007938"
"2895","MESH:C572845","MESH:D007964"
"2896","MESH:C572845","MESH:D008103"
"2897","MESH:C572845","MESH:D008106"
"2899","MESH:C572845","MESH:D008113"
"2900","MESH:C572845","MESH:D008114"
"2901","MESH:C572845","MESH:D008175"
"2902","MESH:C572845","MESH:D008223"
"2903","MESH:C572845","MESH:D008325"
"2904","MESH:C572845","MESH:D008545"
"2905","MESH:C572845","MESH:D008607"
"2906","MESH:C572845","MESH:D008654"
"2907","MESH:C572845","MESH:D009062"
"2908","MESH:C572845","MESH:D009190"
"2909","MESH:C572845","MESH:D009202"
"2910","MESH:C572845","MESH:D009361"
"2911","MESH:C572845","MESH:D009362"
"2912","MESH:C572845","MESH:D009369"
"2913","MESH:C572845","MESH:D009374"
"2915","MESH:C572845","MESH:D009410"
"2916","MESH:C572845","MESH:D009447"
"2918","MESH:C572845","MESH:D010003"
"2919","MESH:C572845","MESH:D010051"
"2920","MESH:C572845","MESH:D010190"
"2921","MESH:C572845","MESH:D010212"
"2923","MESH:C572845","MESH:D011085"
"2924","MESH:C572845","MESH:D011230"
"2925","MESH:C572845","MESH:D011471"
"2926","MESH:C572845","MESH:D011658"
"2927","MESH:C572845","MESH:D012004"
"2928","MESH:C572845","MESH:D012008"
"2930","MESH:C572845","MESH:D012640"
"2932","MESH:C572845","MESH:D012878"
"2934","MESH:C572845","MESH:D013163"
"2935","MESH:C572845","MESH:D013274"
"2936","MESH:C572845","MESH:D013964"
"2937","MESH:C572845","MESH:D014062"
"2938","MESH:C572845","MESH:D014594"
"2939","MESH:C572845","MESH:D015179"
"2940","MESH:C572845","MESH:D015427"
"2941","MESH:C572845","MESH:D015430"
"2942","MESH:C572845","MESH:D015470"
"2943","MESH:C572845","MESH:D015473"
"2944","MESH:C572845","MESH:D015674"
"2945","MESH:C572845","MESH:D016393"
"2946","MESH:C572845","MESH:D016399"
"2947","MESH:C572845","MESH:D016410"
"2948","MESH:C572845","MESH:D017202"
"2949","MESH:C572845","MESH:D018239"
"2952","MESH:C572845","MESH:D018281"
"2954","MESH:C572845","MESH:D018450"
"2955","MESH:C572845","MESH:D019465"
"2956","MESH:C572845","MESH:D019970"
"2957","MESH:C572845","MESH:D021441"
"2959","MESH:C572845","MESH:D054220"
"2961","MESH:C572845","MESH:D056486"
"2965","MESH:C572845","MESH:D064726"
"3120","MESH:D000013","MESH:D000013"
"3126","MESH:D000015","MESH:D000015"
"3127","MESH:D000015","MESH:D000022"
"3130","MESH:D000015","MESH:D000077192"
"3131","MESH:D000015","MESH:D000077195"
"3132","MESH:D000015","MESH:D000077216"
"3133","MESH:D000015","MESH:D000077274"
"3134","MESH:D000015","MESH:D000077277"
"3135","MESH:D000015","MESH:D000230"
"3136","MESH:D000015","MESH:D000236"
"3137","MESH:D000015","MESH:D000310"
"3138","MESH:D000015","MESH:D000544"
"3139","MESH:D000015","MESH:D000740"
"3140","MESH:D000015","MESH:D001161"
"3141","MESH:D000015","MESH:D001169"
"3142","MESH:D000015","MESH:D001171"
"3143","MESH:D000015","MESH:D001172"
"3144","MESH:D000015","MESH:D001249"
"3145","MESH:D000015","MESH:D001254"
"3146","MESH:D000015","MESH:D001281"
"3147","MESH:D000015","MESH:D001284"
"3148","MESH:D000015","MESH:D001321"
"3149","MESH:D000015","MESH:D001471"
"3151","MESH:D000015","MESH:D001714"
"3152","MESH:D000015","MESH:D001749"
"3153","MESH:D000015","MESH:D001848"
"3154","MESH:D000015","MESH:D001930"
"3155","MESH:D000015","MESH:D001932"
"3156","MESH:D000015","MESH:D001943"
"3157","MESH:D000015","MESH:D002051"
"3158","MESH:D000015","MESH:D002114"
"3160","MESH:D000015","MESH:D002277"
"3161","MESH:D000015","MESH:D002280"
"3162","MESH:D000015","MESH:D002289"
"3163","MESH:D000015","MESH:D002292"
"3164","MESH:D000015","MESH:D002294"
"3165","MESH:D000015","MESH:D002295"
"3166","MESH:D000015","MESH:D002311"
"3167","MESH:D000015","MESH:D002312"
"3169","MESH:D000015","MESH:D002471"
"3170","MESH:D000015","MESH:D002543"
"3171","MESH:D000015","MESH:D002545"
"3172","MESH:D000015","MESH:D002583"
"3173","MESH:D000015","MESH:D002658"
"3174","MESH:D000015","MESH:D002779"
"3175","MESH:D000015","MESH:D002971"
"3176","MESH:D000015","MESH:D002972"
"3177","MESH:D000015","MESH:D003072"
"3178","MESH:D000015","MESH:D003092"
"3179","MESH:D000015","MESH:D003093"
