"","Aging..Premature","Asthenia","Fever","Fever.of.Unknown.Origin","Sweating.Sickness","Hypothermia","Body.Weight","Birth.Weight","Fetal.Macrosomia","Body.Weight.Changes","Weight.Gain","Weight.Loss","Emaciation","Cachexia","Fetal.Weight","Overweight","Obesity","Obesity..Morbid","Thinness","Cardiac.Output..High","Cardiac.Output..Low","Chills","Cyanosis","Infantile.Apparent.Life.Threatening.Event","Edema","Edema..Cardiac","Hydrops.Fetalis","Eye.Manifestations","Eye.Hemorrhage","Eye.Pain","Susac.Syndrome","Fatigue","Mental.Fatigue","Feminization","Fetal.Distress","Flushing","Heart.Murmurs","Systolic.Murmurs","Hot.Flashes","Hypergammaglobulinemia","Intermittent.Claudication","Mobility.Limitation","Motion.Sickness","Space.Motion.Sickness","Neurologic.Manifestations","Cerebrospinal.Fluid.Otorrhea","Cerebrospinal.Fluid.Rhinorrhea","Decerebrate.State","Dyskinesias","Ataxia","Cerebellar.Ataxia","Gait.Ataxia","Athetosis","Catalepsy","Chorea","Dystonia","Torticollis","Hyperkinesis","Hypokinesia","Myoclonus","Psychomotor.Agitation","Akathisia..Drug.Induced","Synkinesis","Tics","Tremor","Gait.Disorders..Neurologic","Gait.Apraxia","Meningism","Neurobehavioral.Manifestations","Apraxias","Alien.Hand.Syndrome","Catatonia","Communication.Disorders","Language.Disorders","Agraphia","Anomia","Dyslexia","Dyslexia..Acquired","Alexia..Pure","Language.Development.Disorders","Speech.Disorders","Aphasia","Aphasia..Broca","Aphasia..Conduction","Aphasia..Primary.Progressive","Primary.Progressive.Nonfluent.Aphasia","Aphasia..Wernicke","Articulation.Disorders","Dysarthria","Echolalia","Mutism","Stuttering","Learning.Disorders","Confusion","Delirium","Consciousness.Disorders","Unconsciousness","Coma","Persistent.Vegetative.State","Stupor","Syncope","Syncope..Vasovagal","Lethargy","Memory.Disorders","Amnesia","Amnesia..Anterograde","Amnesia..Retrograde","Amnesia..Transient.Global","Korsakoff.Syndrome","Mental.Retardation","Perceptual.Disorders","Agnosia","Gerstmann.Syndrome","Prosopagnosia","Auditory.Perceptual.Disorders","Hallucinations","Illusions","Phantom.Limb","Psychomotor.Disorders","Apraxia..Ideomotor","Fasciculation","Muscle.Cramp","Muscle.Hypertonia","Muscle.Rigidity","Muscle.Spasticity","Muscle.Hypotonia","Muscle.Weakness","Muscular.Atrophy","Sarcopenia","Myokymia","Myotonia","Spasm","Hemifacial.Spasm","Trismus","Tetany","Orthostatic.Intolerance","Pain","Back.Pain","Low.Back.Pain","Facial.Pain","Headache","Slit.Ventricle.Syndrome","Labor.Pain","Metatarsalgia","Neck.Pain","Neuralgia","Neuralgia..Postherpetic","Piriformis.Muscle.Syndrome","Sciatica","Pain..Intractable","Pain..Referred","Paralysis","Facial.Paralysis","Gastroparesis","Hemiplegia","Ophthalmoplegia","Ophthalmoplegia..Chronic.Progressive.External","Supranuclear.Palsy..Progressive","Paraplegia","Brown.Sequard.Syndrome","Pseudobulbar.Palsy","Quadriplegia","Respiratory.Paralysis","Vocal.Cord.Paralysis","Paresis","Paraparesis","Paraparesis..Spastic","Psychophysiologic.Disorders","Pupil.Disorders","Anisocoria","Miosis","Horner.Syndrome","Tonic.Pupil","Reflex..Abnormal","Reflex..Babinski","Seizures","Sensation.Disorders","Dizziness","Hearing.Disorders","Hearing.Loss","Deafness","Deaf.Blind.Disorders","Hearing.Loss..Bilateral","Hearing.Loss..Conductive","Hearing.Loss..Functional","Hearing.Loss..High.Frequency","Hearing.Loss..Mixed.Conductive.Sensorineural","Hearing.Loss..Sensorineural","Hearing.Loss..Central","Hearing.Loss..Noise.Induced","Presbycusis","Usher.Syndromes","Hearing.Loss..Sudden","Hearing.Loss..Unilateral","Hyperacusis","Tinnitus","Olfaction.Disorders","Somatosensory.Disorders","Hyperalgesia","Hyperesthesia","Hypesthesia","Paresthesia","Taste.Disorders","Ageusia","Dysgeusia","Vision.Disorders","Amblyopia","Blindness","Amaurosis.Fugax","Blindness..Cortical","Color.Vision.Defects","Diplopia","Hemianopsia","Photophobia","Scotoma","Vision..Low","Sleep.Disorders","Sleep.Deprivation","Urinary.Bladder..Neurogenic","Vertigo","Voice.Disorders","Aphonia","Dysphonia","Hoarseness","Oral.Manifestations","Oral.Hemorrhage","Abdominal.Pain","Abdomen..Acute","Colic","Renal.Colic","Arthralgia","Shoulder.Pain","Chest.Pain","Angina.Pectoris","Acute.Coronary.Syndrome","Angina..Unstable","Angina.Pectoris..Variant","Earache","Toothache","Flank.Pain","Glossalgia","Pain..Postoperative","Pelvic.Pain","Dysmenorrhea","Pseudophakia","Reticulocytosis","Aerophagy","Anorexia","Constipation","Coprophagia","Diarrhea","Diarrhea..Infantile","Dyspepsia","Encopresis","Eructation","Flatulence","Gagging","Halitosis","Heartburn","Hiccup","Hyperphagia","Bulimia","Nausea","Postoperative.Nausea.and.Vomiting","Vomiting","Hematemesis","Morning.Sickness","Hyperemesis.Gravidarum","Vomiting..Anticipatory","Anoxia","Fetal.Hypoxia","Apnea","Cheyne.Stokes.Respiration","Cough","Dyspnea","Dyspnea..Paroxysmal","Hemoptysis","Hypercapnia","Hyperoxia","Hyperventilation","Hypocapnia","Hypoventilation","Mouth.Breathing","Respiratory.Aspiration","Respiratory.Sounds","Snoring","Sneezing","Skin.Manifestations","Cafe.au.Lait.Spots","Ecchymosis","Jaundice","Jaundice..Obstructive","Livedo.Reticularis","Necrolytic.Migratory.Erythema","Pallor","Pruritus","Tinea.Pedis","Purpura","Purpura.Fulminans","Purpura..Hyperglobulinemic","Purpura..Schoenlein.Henoch","Purpura..Thrombocytopenic","Purpura..Thrombocytopenic..Idiopathic","Purpura..Thrombotic.Thrombocytopenic","Waterhouse.Friderichsen.Syndrome","Striae.Distensae","Dysuria","Hypercalciuria","Nocturia","Oliguria","Polyuria","Prostatism","Proteinuria","Albuminuria","Hemoglobinuria","Urinary.Bladder..Overactive","Urinary.Incontinence","Urinary.Incontinence..Stress","Urinary.Incontinence..Urge","Urinoma","Virilism","Hirsutism"
"MESH:D018357",3.464551,0,5.570439,0,0,1.945436,3.429878,2.814262,0,0,0,11.00059,0,0,0,0,0,0,0,0,0,0,1.74341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48042,2.401933,0,0,0.9929911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36914,0,0,0,0,0,0,0,0,0,0,0,2.814262,0,5.071002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8484837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.825261,0,0,0,2.281245,0,0,0,0,0,0,0,0,0,0,1.138753,0,0,0,0,0,0,8.015909,0,37.53108,0,14.46202,4.020887,0,1.697074,4.221968,0,2.10513,0,0,0,3.330074,188.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.497956,0,0,0,0,0,0,0,0,0
"MESH:D015658",10.39365,8.252877,94.69746,86.91614,0,3.890872,90.2058,49.24958,3.336718,0,124.8819,184.0099,12.82849,119.6834,0,4.11936,50.78577,7.01176,37.38839,0,8.571183,0,1.74341,0,9.53405,0,4.682001,0,2.752642,0,0,134.2856,0,0,2.588452,0,0,0,3.405711,88.99363,0,5.527714,0,0,0,3.188298,0,0,1.495904,8.537618,3.417571,2.802176,2.582162,0,7.971933,3.072218,0,4.682001,2.879293,5.325213,8.970241,3.110911,0,3.722381,6.957411,8.723828,0,3.074354,0,2.383774,0,2.701907,0.9885225,6.46642,0,0,2.677472,0,4.658474,14.9194,4.611666,1.810662,3.110911,0,0,0,0,0,4.05317,0,0,0,8.676562,12.07159,12.50373,0.8771293,0.9279728,6.560424,0,0,8.945349,0,0,44.03993,2.171486,0,0,0,0,8.14902,0,0,0,0,3.143347,5.169865,0,0,23.96954,0,0,2.24256,0,2.401933,1.72728,1.656511,21.8458,4.382465,0,0,3.054049,0,0,0,2.381207,0,64.55979,5.734643,1.590421,3.944657,38.92083,0,0,0,1.958792,29.22797,8.197716,0,2.169409,5.97895,0,3.3913,37.99871,6.594995,6.473162,9.308931,3.646873,0,3.832438,0,4.157699,2.738279,2.48942,3.975559,7.726415,8.943544,3.171204,7.412528,0,0,0,0,0,8.442786,0,37.18734,5.49315,12.08224,4.410099,5.624854,8.59969,0,4.423577,6.802261,0,0,0,9.718847,0,3.194062,0,0,0,0,0,13.81824,6.864691,2.091062,4.78822,2.694864,17.21961,19.01225,4.752183,0,3.472156,19.90468,0,13.17766,0,5.889352,15.39966,4.932496,4.164104,0,0,6.768131,52.25496,0,2.078257,6.385008,4.995734,0,0,2.216127,1.865776,5.151825,39.87873,17.2512,14.94323,0,16.2503,0,7.696926,4.35805,15.58776,13.45536,0,2.817924,8.191747,0,0,1.677855,2.041078,0,0,0,0,41.98099,1.593915,0,376.6608,22.81245,4.164104,0,0,3.137867,0,0,3.176869,8.861178,2.399318,2.763857,67.18643,0,29.52294,2.085862,0,0,0,1.001989,0,1.876554,0,34.18296,30.15665,0,10.18245,0,5.898381,2.10513,0,0,3.22936,0,8.196347,2.760105,3.356921,0,0,2.299981,11.63769,2.498029,0,0,0,63.03551,6.944312,8.505749,0,0,11.98929,41.03226,63.81852,135.4104,0,0,0,7.405925,0,0,2.360901,0,71.19173,33.04139,2.883522,0,1.617529,0,0,0,2.227056,0
"MESH:D001943",3.464551,20.63219,66.22633,4.419465,0,0,127.9345,77.3922,6.673436,0.8446152,202.1898,46.00247,0,51.86282,0,23.89229,374.6491,8.7647,13.353,0,6.428387,3.585179,0,0,81.03942,7.038079,0,0,0,0,0,384.6484,14.34072,3.762386,0,28.75413,0,0,650.4908,6.716501,2.218303,8.291571,10.48597,0,0.6994141,0,10.70989,0,0,8.537618,18.79664,0,0,0,1.992983,3.072218,0,0,0,1.775071,0,6.221823,0,0,3.478706,0,0,0,0,0,0,2.701907,0,1.077737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10634,0,0,0,1.735312,4.526845,12.50373,2.631388,1.855946,3.936254,0,0,7.454457,3.182567,3.495323,24.95596,2.171486,0,0,0,0,6.338127,4.158172,0,0,0,0,1.723288,3.089858,3.22936,1.331641,0,0,4.48512,0,0,0,1.656511,12.90888,4.382465,0,0,3.054049,4.101832,0,2.59796,2.381207,0,150.2003,6.881571,6.361684,7.889314,22.11411,0,0,0,0,13.84483,0,0,6.508228,85.69828,0,11.14284,6.785485,0,2.589265,9.308931,0,0,16.60723,0,0,5.476559,4.978841,1.98778,5.150943,4.471772,0,62.26524,1.746123,0,0,8.838505,0,0,0,5.916168,2.403253,18.7946,0,0.8035505,2.457054,0,0,0,0,0,0,4.859423,0,0,0,0,0,0,0,1.974034,9.152921,1.045531,2.39411,0,20.66353,52.96271,16.63264,0,6.944312,14.59677,0,16.47208,0,0,2.56661,26.30664,4.164104,0,9.524827,6.768131,82.11494,10.30365,2.078257,9.577512,3.33049,0,0,2.216127,0,0,9.33332,5.750401,6.404242,0,57.6147,19.36342,7.696926,11.62147,0,2.24256,3.265949,2.817924,2.730582,0,0,48.6578,2.041078,0,0,5.1693,0,69.3599,23.90873,0,62.77679,0,4.164104,0,0,3.137867,0,0,12.70748,0,0,0,368.956,3.4201,189.7903,6.257585,0,5.750165,127.1393,77.15312,0,1.876554,0,14.46202,40.20887,3.752234,8.485372,0,2.949191,0,0,2.521353,0,0,3.278539,0,0,4.286501,0,4.599962,17.45654,4.996057,4.098858,0,0,35.18261,0,1.063219,0,0,5.994643,7.074528,11.60337,15.28827,0,0,3.836494,0,0,0,14.16541,0,9.991822,4.130173,2.883522,0,14.55776,2.802176,0,0,31.17878,29.80467
"MESH:D003110",3.464551,2.063219,16.71132,26.51679,0,0,86.77593,0,0,0,25.27373,47.00252,0,173.541,0,2.471616,59.94386,1.75294,2.6706,0,0,3.585179,0,0,6.554659,0,0,0,0,0,0,20.48424,0,7.524772,0,0,0,0,0,5.037375,0,0,0,0,0.2098242,0,0,0,0,1.21966,1.708786,0,0,0,0,0,0,0,0,3.550142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.810662,0,0,0,0,0,0,0,0,0,0,0,3.017896,0,0.8771293,0,1.312085,0,0,2.981783,0,0,1.467998,0,0,0,0,0,1.810893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9929911,8.764931,0,0,3.054049,5.46911,0,5.195921,0,0,17.78688,1.146929,4.771263,0,0,0,0,0,0,1.538314,0,0,0,15.94387,0,0.9689428,0,0,1.294632,1.329847,0,0,1.277479,0,0,1.36914,0,0,1.287736,0,0,2.965011,0,0,0,0,0,0,0,0.8451669,1.029966,1.342471,0.7350166,1.607101,0,0,0,0,0,3.105606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074054,0,0,0,0.6634894,0,1.098138,0,2.944676,0,0,2.082052,0,0,0,0,0,4.156514,1.596252,0,0,3.449514,4.432254,0,0,47.51509,28.752,4.269495,0,1.4773,0,1.099561,11.62147,0,2.24256,0,0,0,0,4.01662,1.677855,0,0,0,0,0,23.72839,63.75662,0,105.2434,2.281245,8.328209,0,0,6.275735,0,3.241408,0,0,0,0,74.01895,3.4201,34.58402,4.171723,0,0,31.78484,28.05568,0,0,0,0,2.010443,0,0,2.110984,5.898381,0,0,0,0,0,0,0,0,2.449429,3.303928,0,2.909424,4.996057,0,0,0,0,0,1.063219,0,0,0,0,7.735578,6.552116,0,0,0,0,0,0,0,0,1.248978,0,0,0,1.617529,0,0,0,0,0
"MESH:D015674",3.464551,0,0,0,0,0,12.69055,2.814262,0,0,2.973379,0,0,3.989448,0,0,4.995322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6587734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9231881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8435127,0,0,0,0,8.015909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MESH:D012878",10.39365,6.189658,27.23326,7.365775,0,0,28.125,4.221393,0,0,4.460069,9.000483,0,3.989448,0,0.8238721,20.81384,7.01176,0,3.836494,2.142796,3.585179,5.230229,0,44.69086,0,2.341,12.06302,0,0,0,22.76026,0,0,0,2.614012,2.363417,0,0,16.79125,0,0,0,0,0.839297,0,2.677472,0,0,4.878639,6.835142,0,2.582162,0,7.971933,0,0,2.341,0,5.325213,0,0,0,0,3.478706,1.744766,0,6.148708,0,0,0,0,0,0,0,0,0,0,0,2.486567,0,3.621324,0,0,0,0,3.495323,0,6.079755,0,0,0,3.470625,0,0,0,0,0,0,0,4.472674,0,0,0,0,0,0,0,0,60.66493,0,0,0,0,0,5.169865,0,0,3.994923,0,0,0,0,0,5.181841,3.313022,6.950938,5.843287,0,0,0,2.734555,0,0,0,0,39.19702,5.734643,1.590421,7.889314,13.26846,0,0,0,3.917584,3.076628,0,0,2.169409,7.971933,0,4.360242,21.71355,0,9.062427,11.96863,0,0,11.49731,0,0,5.476559,0,3.975559,6.438679,6.707658,0,2.965011,0,0,0,0,0,1.407131,0,16.05817,1.029966,5.369886,2.20505,2.410652,18.42791,0,2.211789,0,0,0,0,3.644568,0,0,0,0,0,3.585179,0,3.948067,0,0,14.36466,0,1.721961,12.22216,0,0,0,14.59677,12.81764,8.785107,0,2.944676,5.13322,8.220826,2.082052,2.854292,7.14362,4.512087,4.478997,2.575912,0,6.385008,1.665245,0,6.899027,0,5.597329,5.151825,9.33332,4.3128,6.404242,0,4.4319,4.840855,6.597365,0,0,0,0,0,0,0,0,5.033566,0,0,3.752234,0,0,7.301042,1.593915,0,16.61739,2.281245,0,0,0,0,0,0,0,0,4.798637,0,35.30135,0,21.93133,0,0,0,0,13.02585,2.734225,1.876554,0,5.258917,13.06788,0,3.394149,0,0,0,0,0,0,0,3.278539,0,0,19.59543,79.29428,20.69983,4.364135,9.992115,0,0,7.070338,83.5587,34.72156,27.64368,0,0,1.998214,84.89433,3.867789,0,3.683914,0,3.836494,0,0,2.614012,2.360901,0,4.995911,2.065087,0,0,0,0,0,0,0,4.967444
"MESH:D009374",3.464551,2.063219,5.570439,0,0,5.836309,146.7988,1.407131,3.336718,0,4.460069,13.0007,0,167.5568,0,0,5.827876,0,2.6706,0,0,0,0,0,3.575269,0,0,0,0,0,0,0,0,3.762386,0,0,0,0,0,3.35825,0,0,0,0,0.06994141,0,0,0,0,0,0,0,0,0,0,0,0,2.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.735312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.764931,0,0,0,0,0,0,0,0,3.623254,0,0,0,0,0,0,0,0,0,0,0,0,1.992983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.965011,0,0,0,0,0,0,0,0.8451669,0.3433219,0,0,0,0,0,0,0,0,0,0,0,0,3.194062,0,0,0,0,0,0,0,0,7.18233,0,0,0,0,0,0,0,0,1.098138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33047,0,0,2.769564,0,0,0,0,0,0,0,0,0,0,0,1.138753,0,2.530538,0,0,0,0,92.18295,0,0,0,0,0,0,0,2.110984,0,0,0,0,0,0,0,0,0,0,0,0,1.454712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.995911,2.065087,0,0,0,0,0,0,2.227056,0
"MESH:D002471",10.39365,0,0.6189376,0,0,0,5.144818,0,0,0,0,4.000215,0,0,0,0,4.162768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.037375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9929911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.287736,0,0,1.482506,0,0,0,0,0,0,0,0.8451669,0,0,0,0.8035505,1.228527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6634894,2.563528,1.098138,0,0,0,1.644165,2.082052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8484837,0,0,0,1.4773,0,0,0,0,0,0,2.817924,0,0,0,0,4.082156,0,0,0,0,0,0,0,0.9231881,0,4.164104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.011931,0,0,0,0,1.005222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.498029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.248978,0,0,0,0,0,0,0,0,0
"MESH:D001847",3.464551,0,6.189376,4.419465,0,0,8.917684,5.628524,0,0,4.460069,2.000107,0,1.994724,0,0.8238721,18.31618,5.25882,0,0,0,0,1.74341,0,14.30107,0,2.341,7.539385,0,0,0,4.552053,0,0,0,0,0,0,0,1.679125,6.65491,2.763857,0,0,0.839297,22.31809,10.70989,0,0,1.21966,1.708786,0,0,0,0,0,2.154991,0,0,1.775071,0,0,0,0,0,0,0,0,0,0,0,0,0,1.077737,0,0,0,0,0,0,3.45875,0,0,0,0,0,0,0,0,0,2.922403,0,0,0,0,0,0.9279728,0,0,0,0,0,0,0,0,0,0,0,0,34.40697,0,0,0,0,0,0,0,3.22936,2.663282,0,0,4.48512,0,0,5.181841,3.313022,0.9929911,20.4515,0,0,6.108097,1.367277,0,2.59796,4.762413,0,76.08833,38.99557,4.771263,33.52959,15.92216,0,0,0,5.876376,4.614942,0,0,21.69409,7.971933,0,4.360242,21.71355,0,3.883897,2.659695,0,0,12.77479,0,0,8.214838,0,0,0,0,0,5.930023,1.746123,0,0,0,0,2.814262,0,2.535501,0.3433219,6.712357,10.29023,2.410652,38.08434,0,4.423577,13.60452,0,0,8.007096,10.9337,0,0,0,0,0,0,0,9.870168,0,0,2.39411,2.694864,5.165883,5.432073,2.376092,0,0,1.326979,0,5.490692,3.511072,0,0,0,0,0,0,0,4.478997,0,0,6.385008,3.33049,0,0,2.216127,7.463105,0,2.545451,1.4376,0,0,13.2957,2.420427,3.298682,1.452683,0,0,0,14.08962,2.730582,0,0,5.033566,2.041078,0,0,0,0,0,1.593915,0,3.692753,2.281245,0,0,0,0,0,0,0,0,0,0,1.138753,0,1.687025,0,0,0,0,2.003977,0,0,0,5.258917,3.015665,0,0,0,0,0,0,0,0,0,0,0,0,6.735929,3.303928,0,2.909424,7.494086,0,0,0,0,0,1.063219,0,3.674525,0,8.489433,0,4.368077,0,0,0,14.81185,0,0,7.082704,0,12.48978,6.19526,0,0,0,0,0,0,0,0
"MESH:D001848",6.929103,0,0,1.473155,0,0,5.830793,5.628524,0,0,0,0,0,0,0,0.8238721,12.4883,1.75294,2.6706,0,0,0,5.230229,0,1.787634,0,14.046,1.507877,0,0,0,0,0,0,0,0,0,0,0,1.679125,4.436606,0,0,0,0.3497071,3.188298,0,0,0,1.21966,1.708786,0,2.582162,0,0,1.536109,2.154991,0,0,0,0,0,0,0,0,1.744766,0,0,0,0,0,0,0,0,0,0,0,0,0,17.40597,3.45875,0,0,0,0,0,0,0,0,0,0,0,1.735312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.7482,0,0,0,0,0,0,0,0,9.321487,0,0,0,1.48042,2.401933,13.81824,4.969533,1.985982,7.304109,0,0,0,1.367277,0,0,2.381207,0,5.599574,3.440786,4.771263,1.972329,4.422821,0,0,0,0,0,0,0,6.508228,0,0,0,10.85678,0,1.294632,0,0,0,5.109917,0,0,6.845698,0,0,1.287736,0,0,1.482506,0,0,0,0,0,1.407131,0,3.380668,0,0,8.820199,7.231955,46.68403,0,13.27073,29.47646,0,0,4.003548,10.9337,3.253603,0,0,0,0,0,0,0,2.28823,0,0,0,0,1.358018,0,0,0,3.317447,2.563528,5.490692,0,0,2.56661,0,0,0,4.762413,0,0,0,2.078257,0,0,0,0,0,1.865776,0,0,0,0,0,2.9546,2.420427,0,0,0,0,0,0,0,0,0,1.677855,0,0,0,0,0,0,0,0,2.769564,4.562491,0,0,0,0,0,3.241408,0,0,0,0,0,0,0,0,0,0,0,2.003977,0,0,0,1.314729,1.005222,0,0,2.110984,0,0,0,0,3.22936,0,3.278539,0,0,1.837072,6.607857,0,0,0,0,0,0,0,0,3.189656,0,0,0,1.414906,0,0,0,0,0,0,0,0,0,0,1.248978,0,0,0,3.235059,0,0,0,0,9.934889
