"","drug_row","drug_col","drug_row_cid","drug_col_cid","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa","S"
"1","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ADM HYDROCHLORIDE",400633,32874,-5.025407697,-1.201341299,-28.86839396,-0.498303573,-1.00075
"2","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ALLOPURINOL",400633,2094,-0.429132005,1.729468138,0.877771467,1.344506267,3.9145
"3","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMIFOSTINE",400633,2141,0.889845055,-2.001100194,-3.612959974,-4.278916912,-2.5785
"4","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AMINOLEVULINIC ACID HYDROCHLORIDE",400633,123608,3.062731334,4.491017164,-2.06446381,-0.554742619,6.9365
"5","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANASTROZOLE",400633,2187,2.393473741,3.186369595,-1.684556727,-0.679938674,3.179
"6","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ANTIBIOTIC AY 22989",400633,54600319,-3.488585719,-2.441275445,-12.60372399,-1.611017339,1.515
"8","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","AZACYTIDINE",400633,1805,-4.618178349,-6.235937968,-26.96217227,-2.762091132,2.5095
"9","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BLEOMYCIN",400633,5360373,-6.701811326,0.226362982,-16.49622333,1.136683667,3.0915
"10","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BORTEZOMIB",400633,387447,2.725601631,2.501437354,-66.40274791,-0.834442827,-0.7425
"11","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","BUSULFAN",400633,2478,-2.198655767,-2.444890892,-2.299559662,-2.441049703,1.6425
"12","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CARMUSTINE",400633,2578,-2.529687493,1.26017259,-10.91401379,-3.2933318,-2.461
"13","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CHEMBL277800",400633,354624,-0.71364084,-0.26152388,0.221768894,-0.624549285,-0.4795
"15","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CO-V",400633,40926,-0.43725381,-1.173512392,-2.910034426,-2.837194889,0.8205
"16","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","CYCLOPHOSPHAMIDE",400633,2907,0.728082963,2.038690787,0.21066961,0.334538189,3.62
"17","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DASATINIB",400633,3062316,-2.080619221,-1.552101075,-4.690419317,-0.023283107,-0.908
"18","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","DOCETAXEL",400633,148124,-5.421393264,-9.016697317,-9.700868839,-9.999077563,-15.1585
"19","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ELOXATIN (TN) (SANOFI SYNTHELAB)",400633,24197464,-5.003246739,-2.55726352,-17.70269806,-3.399982633,7.216
"20","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","EMCYT (PHARMACIA)",400633,54611422,-2.839397509,-2.005651467,-2.551431801,-1.896621533,3.3825
"21","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ERLOTINIB HYDROCHLORIDE",400633,176871,-1.843492511,-3.553658522,-3.321974643,-2.732074925,-3.921
"22","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","FULVESTRANT",400633,104741,-0.04345826,-1.852099827,-3.365568406,-3.137684006,-1.697
"23","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","GEMZAR (LILLY)",400633,356653,-2.062820076,-0.281477578,-6.020201123,-0.474349978,2.8275
"24","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IFOSFAMIDE",400633,3690,0.87835865,1.35849756,-44.77321137,-0.741363511,3.672
"25","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IMIQUIMOD",400633,57469,0.7130233,-0.131231016,-0.70179529,-1.565623818,1.2445
"26","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","IXABEPILONE",400633,6445540,1.698847498,-0.275809944,-29.41200267,-0.845553925,-7.6385
"27","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","LAPATINIB",400633,208908,-1.695381006,-5.167008339,-3.991381671,-3.88979295,-6.3295
"28","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MECHLORETHAMINE HYDROCHLORIDE",400633,5935,-5.318228975,0.666418178,-29.07977702,-0.215537611,9.4605
"29","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","METHOXSALEN",400633,4114,2.796370124,5.593913307,0.23053318,0.077779408,6.223
"30","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOMYCINE",400633,5746,0.373300182,0.511794839,-34.76866236,-0.38999837,0.561
"31","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","MITOTANE",400633,4211,9.16817166,8.591337306,8.037926166,8.122029711,-0.3215
"32","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC 85998",400633,23615975,-1.780693297,2.246569784,0.927501852,1.749019979,7.586
"33","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC-127716",400633,16886,-0.952473859,1.844499115,-0.503893513,1.118890722,-0.4595
"34","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC256439",400633,3685,-0.600989609,0.752014626,-49.87251255,1.371805,26.592
"35","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","NSC733504",400633,54608520,-0.645944743,2.320393792,1.184943274,2.261075911,3.921
"36","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PACLITAXEL",400633,36314,-8.438934551,-9.456613803,-15.38123917,-8.935478304,-1.741
"37","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PIPOBROMAN",400633,4842,-10.01342004,-2.793697963,-13.46571545,-1.678838444,2.15
"38","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PRALATREXATE",400633,148121,6.048799204,-0.342585023,-26.66435936,-2.034315378,-11.6475
"39","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","PROCARBAZINE HYDROCHLORIDE",400633,9703,1.009746939,1.768373975,-0.039169396,0.135573393,1.8175
"40","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","QUINACRINE HYDROCHLORIDE",400633,5351141,1.813039768,4.410870514,-2.059501239,0.672315994,7.205
"41","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","ROMIDEPSIN",400633,5352062,-6.642317124,-9.090332441,-56.8310148,-3.422074925,13.21
"42","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SN-38",400633,104842,1.181010324,-1.227883881,-33.27355141,0.940305258,4.511
"43","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SORAFENIB",400633,216239,1.608400612,1.780585765,-0.113492365,-1.187622867,1.7485
"44","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","SUNITINIB",400633,5329102,-0.161000387,-1.725294252,-4.507359255,-2.24082914,-2.6775
"45","1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE","THALIDOMIDE",400633,5426,-0.205658333,0.227773192,0.21499654,-0.601082911,0.8435
